site,event_n,recession_n,Start_dt_EST,End_dt_EST,notes
SF-A,1,SFA_E1_1,2018-07-26 12:05:00,2018-07-26 13:00:00,
SF-A,1,SFA_E1_2,,,cut off
SF-A,2,SFA_E2_1,2018-09-03 18:30:00,2018-09-04 00:30:00,
SF-A,3,SFA_E3_1,2018-09-11 04:55:00,2018-09-11 08:00:00,
SF-A,4,SFA_E4_1,2018-09-21 10:50:00,2018-09-21 13:45:00,
SF-A,4,SFA_E4_2,2018-09-21 22:55:00,2018-09-22 02:15:00,
SF-A,5,SFA_E5_1,2018-09-25 16:50:00,2018-09-25 20:35:00,
SF-A,5,SFA_E5_2,2018-09-26 17:25:00,2018-09-26 18:50:00,
SF-A,6,SFA_E6_1,2018-10-02 11:50:00,2018-10-02 23:00:00,
SF-A,7,SFA_E7_1,2018-10-11 14:45:00,2018-10-11 19:35:00,
SF-A,8,SFA_E8_1,2018-11-02 00:05:00,2018-11-02 12:50:00,
SF-A,9,SFA_E9_1,2018-11-03 01:15:00,2018-11-03 06:05:00,
SF-A,9,SFA_E9_2,2018-11-03 12:15:00,2018-11-03 21:50:00,
