"Plot Title: 10571087_SF-A_180719"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10571087, SEN S/N: 10571087)","Temp, °C (LGR S/N: 10571087, SEN S/N: 10571087)","Abs Pres Barom., kPa (LGR S/N: 10710527, SEN S/N: 10710527)","Sensor Depth, meters (LGR S/N: 10571087)","Coupler Detached (LGR S/N: 10571087)","Coupler Attached (LGR S/N: 10571087)","Stopped (LGR S/N: 10571087)","End Of File (LGR S/N: 10571087)"
1,09/07/18 03:55:00 PM,96.028,16.046,,,,,,
2,09/07/18 03:55:03 PM,,,,,Logged,,,
3,09/07/18 04:00:00 PM,96.040,16.523,,,,,,
4,09/07/18 04:05:00 PM,96.040,16.523,,,,,,
5,09/07/18 04:10:00 PM,96.035,16.332,,,,,,
6,09/07/18 04:15:00 PM,96.033,16.237,,,,,,
7,09/07/18 04:20:00 PM,96.033,16.237,,,,,,
8,09/07/18 04:25:00 PM,96.021,16.237,,,,,,
9,09/07/18 04:30:00 PM,96.031,16.141,,,,,,
10,09/07/18 04:35:00 PM,96.031,16.141,,,,,,
11,09/07/18 04:40:00 PM,96.016,16.046,,,,,,
12,09/07/18 04:45:00 PM,96.026,15.951,,,,,,
13,09/07/18 04:50:00 PM,96.026,15.951,,,,,,
14,09/07/18 04:55:00 PM,96.023,15.855,,,,,,
15,09/07/18 05:00:00 PM,96.045,15.760,95.899,0.015,,,,
16,09/07/18 05:05:00 PM,96.033,15.760,,0.013,,,,
17,09/07/18 05:10:00 PM,96.043,15.664,,0.014,,,,
18,09/07/18 05:15:00 PM,96.053,15.569,95.912,0.014,,,,
19,09/07/18 05:20:00 PM,96.062,15.473,,0.015,,,,
20,09/07/18 05:25:00 PM,96.036,15.378,,0.012,,,,
21,09/07/18 05:30:00 PM,96.070,15.282,95.927,0.015,,,,
22,09/07/18 05:35:00 PM,96.043,15.187,,0.012,,,,
23,09/07/18 05:40:00 PM,96.028,15.091,,0.011,,,,
24,09/07/18 05:45:00 PM,96.038,14.996,95.924,0.012,,,,
25,09/07/18 05:50:00 PM,96.048,14.900,,0.013,,,,
26,09/07/18 05:55:00 PM,96.033,14.804,,0.012,,,,
27,09/07/18 06:00:00 PM,96.046,14.804,95.915,0.013,,,,
28,09/07/18 06:05:00 PM,96.055,14.709,,0.013,,,,
29,09/07/18 06:10:00 PM,96.041,14.613,,0.011,,,,
30,09/07/18 06:15:00 PM,96.065,14.613,95.939,0.013,,,,
31,09/07/18 06:20:00 PM,96.041,14.613,,0.011,,,,
32,09/07/18 06:25:00 PM,96.063,14.517,,0.013,,,,
33,09/07/18 06:30:00 PM,96.060,14.421,95.935,0.013,,,,
34,09/07/18 06:35:00 PM,96.060,14.421,,0.012,,,,
35,09/07/18 06:40:00 PM,96.070,14.325,,0.012,,,,
36,09/07/18 06:45:00 PM,96.095,14.325,95.961,0.014,,,,
37,09/07/18 06:50:00 PM,96.070,14.325,,0.010,,,,
38,09/07/18 06:55:00 PM,96.129,14.230,,0.015,,,,
39,09/07/18 07:00:00 PM,96.117,14.230,95.987,0.013,,,,
40,09/07/18 07:05:00 PM,96.104,14.230,,0.012,,,,
41,09/07/18 07:10:00 PM,96.102,14.134,,0.013,,,,
42,09/07/18 07:15:00 PM,96.100,14.038,95.972,0.013,,,,
43,09/07/18 07:20:00 PM,96.112,14.038,,0.014,,,,
44,09/07/18 07:25:00 PM,96.097,13.942,,0.012,,,,
45,09/07/18 07:30:00 PM,96.107,13.846,95.986,0.012,,,,
46,09/07/18 07:35:00 PM,96.117,13.750,,0.013,,,,
47,09/07/18 07:40:00 PM,96.114,13.654,,0.012,,,,
48,09/07/18 07:45:00 PM,96.112,13.558,96.008,0.011,,,,
49,09/07/18 07:50:00 PM,96.146,13.461,,0.014,,,,
50,09/07/18 07:55:00 PM,96.146,13.461,,0.014,,,,
51,09/07/18 08:00:00 PM,96.144,13.365,96.005,0.014,,,,
52,09/07/18 08:05:00 PM,96.144,13.365,,0.014,,,,
53,09/07/18 08:10:00 PM,96.156,13.365,,0.016,,,,
54,09/07/18 08:15:00 PM,96.154,13.269,96.001,0.016,,,,
55,09/07/18 08:20:00 PM,96.154,13.269,,0.015,,,,
56,09/07/18 08:25:00 PM,96.139,13.173,,0.013,,,,
57,09/07/18 08:30:00 PM,96.139,13.173,96.019,0.012,,,,
58,09/07/18 08:35:00 PM,96.137,13.076,,0.013,,,,
59,09/07/18 08:40:00 PM,96.134,12.980,,0.013,,,,
60,09/07/18 08:45:00 PM,96.134,12.980,95.996,0.014,,,,
61,09/07/18 08:50:00 PM,96.120,12.883,,0.013,,,,
62,09/07/18 08:55:00 PM,96.129,12.787,,0.014,,,,
63,09/07/18 09:00:00 PM,96.115,12.690,95.994,0.012,,,,
64,09/07/18 09:05:00 PM,96.125,12.594,,0.013,,,,
65,09/07/18 09:10:00 PM,96.112,12.594,,0.012,,,,
66,09/07/18 09:15:00 PM,96.122,12.497,95.994,0.013,,,,
67,09/07/18 09:20:00 PM,96.098,12.497,,0.011,,,,
68,09/07/18 09:25:00 PM,96.110,12.497,,0.012,,,,
69,09/07/18 09:30:00 PM,96.098,12.497,95.988,0.011,,,,
70,09/07/18 09:35:00 PM,96.100,12.594,,0.012,,,,
71,09/07/18 09:40:00 PM,96.100,12.594,,0.012,,,,
72,09/07/18 09:45:00 PM,96.112,12.594,95.974,0.014,,,,
73,09/07/18 09:50:00 PM,96.098,12.497,,0.012,,,,
74,09/07/18 09:55:00 PM,96.122,12.497,,0.014,,,,
75,09/07/18 10:00:00 PM,96.108,12.401,95.984,0.013,,,,
76,09/07/18 10:05:00 PM,96.120,12.401,,0.013,,,,
77,09/07/18 10:10:00 PM,96.120,12.401,,0.013,,,,
78,09/07/18 10:15:00 PM,96.110,12.497,95.998,0.011,,,,
79,09/07/18 10:20:00 PM,96.110,12.497,,0.011,,,,
80,09/07/18 10:25:00 PM,96.122,12.497,,0.013,,,,
81,09/07/18 10:30:00 PM,96.134,12.497,95.998,0.014,,,,
82,09/07/18 10:35:00 PM,96.134,12.497,,0.014,,,,
83,09/07/18 10:40:00 PM,96.134,12.497,,0.014,,,,
84,09/07/18 10:45:00 PM,96.120,12.401,96.000,0.012,,,,
85,09/07/18 10:50:00 PM,96.120,12.401,,0.012,,,,
86,09/07/18 10:55:00 PM,96.130,12.304,,0.013,,,,
87,09/07/18 11:00:00 PM,96.130,12.304,96.000,0.013,,,,
88,09/07/18 11:05:00 PM,96.130,12.304,,0.013,,,,
89,09/07/18 11:10:00 PM,96.127,12.207,,0.012,,,,
90,09/07/18 11:15:00 PM,96.127,12.207,96.016,0.011,,,,
91,09/07/18 11:20:00 PM,96.127,12.207,,0.012,,,,
92,09/07/18 11:25:00 PM,96.127,12.207,,0.013,,,,
93,09/07/18 11:30:00 PM,96.115,12.207,95.990,0.013,,,,
94,09/07/18 11:35:00 PM,96.115,12.207,,0.012,,,,
95,09/07/18 11:40:00 PM,96.127,12.207,,0.013,,,,
96,09/07/18 11:45:00 PM,96.130,12.304,95.998,0.013,,,,
97,09/07/18 11:50:00 PM,96.130,12.304,,0.013,,,,
98,09/07/18 11:55:00 PM,96.130,12.304,,0.013,,,,
99,09/08/18 12:00:00 AM,96.120,12.401,96.002,0.012,,,,
100,09/08/18 12:05:00 AM,96.120,12.401,,0.013,,,,
101,09/08/18 12:10:00 AM,96.132,12.401,,0.014,,,,
102,09/08/18 12:15:00 AM,96.120,12.401,95.986,0.014,,,,
103,09/08/18 12:20:00 AM,96.108,12.401,,0.011,,,,
104,09/08/18 12:25:00 AM,96.120,12.401,,0.012,,,,
105,09/08/18 12:30:00 AM,96.108,12.401,96.016,0.009,,,,
106,09/08/18 12:35:00 AM,96.120,12.401,,0.012,,,,
107,09/08/18 12:40:00 AM,96.120,12.401,,0.013,,,,
108,09/08/18 12:45:00 AM,96.108,12.401,95.978,0.013,,,,
109,09/08/18 12:50:00 AM,96.095,12.401,,0.012,,,,
110,09/08/18 12:55:00 AM,96.108,12.401,,0.014,,,,
111,09/08/18 01:00:00 AM,96.083,12.401,95.968,0.012,,,,
112,09/08/18 01:05:00 AM,96.068,12.304,,0.011,,,,
113,09/08/18 01:10:00 AM,96.081,12.304,,0.013,,,,
