"Plot Title: 10571087_SF-A_180719"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10571087, SEN S/N: 10571087)","Temp, °C (LGR S/N: 10571087, SEN S/N: 10571087)","Abs Pres Barom., kPa (LGR S/N: 10710527, SEN S/N: 10710527)","Sensor Depth, meters (LGR S/N: 10571087)","Coupler Detached (LGR S/N: 10571087)","Coupler Attached (LGR S/N: 10571087)","Host Connected (LGR S/N: 10571087)","Stopped (LGR S/N: 10571087)","End Of File (LGR S/N: 10571087)"
1,10/08/18 09:50:00 AM,96.989,8.978,,,Logged,,,,
2,10/08/18 09:55:00 AM,97.014,8.978,,,,,,,
3,10/08/18 10:00:00 AM,97.002,8.978,,,,,,,
4,10/08/18 10:05:00 AM,97.026,8.978,,,,,,,
5,10/08/18 10:10:00 AM,97.028,9.077,,,,,,,
6,10/08/18 10:15:00 AM,97.016,9.077,96.898,0.012,,,,,
7,10/08/18 10:20:00 AM,97.016,9.077,,0.011,,,,,
8,10/08/18 10:25:00 AM,97.028,9.077,,0.012,,,,,
9,10/08/18 10:30:00 AM,97.028,9.077,96.918,0.011,,,,,
10,10/08/18 10:35:00 AM,97.028,9.077,,0.011,,,,,
11,10/08/18 10:40:00 AM,96.992,9.077,,0.007,,,,,
12,10/08/18 10:45:00 AM,97.016,9.077,96.928,0.009,,,,,
13,10/08/18 10:50:00 AM,97.041,9.077,,0.012,,,,,
14,10/08/18 10:55:00 AM,97.016,9.077,,0.009,,,,,
15,10/08/18 11:00:00 AM,97.019,9.176,96.928,0.009,,,,,
16,10/08/18 11:05:00 AM,97.019,9.176,,0.011,,,,,
17,10/08/18 11:10:00 AM,97.019,9.176,,0.012,,,,,
18,10/08/18 11:15:00 AM,96.970,9.176,96.892,0.008,,,,,
19,10/08/18 11:20:00 AM,96.982,9.176,,0.009,,,,,
20,10/08/18 11:25:00 AM,96.972,9.275,,0.008,,,,,
21,10/08/18 11:30:00 AM,96.997,9.275,96.890,0.011,,,,,
22,10/08/18 11:35:00 AM,96.972,9.275,,0.010,,,,,
23,10/08/18 11:40:00 AM,96.984,9.275,,0.012,,,,,
24,10/08/18 11:45:00 AM,96.962,9.373,96.855,0.011,,,,,
25,10/08/18 11:50:00 AM,96.950,9.373,,0.010,,,,,
26,10/08/18 11:55:00 AM,96.938,9.373,,0.010,,,,,
27,10/08/18 12:00:00 PM,96.938,9.373,96.835,0.011,,,,,
28,10/08/18 12:05:00 PM,96.938,9.373,,0.011,,,,,
29,10/08/18 12:10:00 PM,96.950,9.373,,0.012,,,,,
30,10/08/18 12:15:00 PM,96.950,9.373,96.829,0.012,,,,,
31,10/08/18 12:20:00 PM,96.913,9.373,,0.009,,,,,
32,10/08/18 12:25:00 PM,96.916,9.472,,0.011,,,,,
33,10/08/18 12:30:00 PM,96.916,9.472,96.803,0.012,,,,,
34,10/08/18 12:35:00 PM,96.904,9.472,,0.011,,,,,
35,10/08/18 12:40:00 PM,96.916,9.472,,0.012,,,,,
36,10/08/18 12:45:00 PM,96.879,9.472,96.793,0.009,,,,,
37,10/08/18 12:50:00 PM,96.891,9.472,,0.011,,,,,
38,10/08/18 12:55:00 PM,96.879,9.472,,0.011,,,,,
39,10/08/18 01:00:00 PM,96.879,9.472,96.759,0.012,,,,,
