"Plot Title: 10710524_SF-B_180719"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10710524, SEN S/N: 10710524)","Temp, °C (LGR S/N: 10710524, SEN S/N: 10710524)","Abs Pres Barom., kPa (LGR S/N: 10710527, SEN S/N: 10710527)","Sensor Depth, meters (LGR S/N: 10710524)","Coupler Detached (LGR S/N: 10710524)","Coupler Attached (LGR S/N: 10710524)","Host Connected (LGR S/N: 10710524)","Stopped (LGR S/N: 10710524)","End Of File (LGR S/N: 10710524)"
1,10/08/18 09:30:00 AM,96.979,8.680,,,Logged,,,,
2,10/08/18 09:35:00 AM,96.979,9.077,,,,,,,
3,10/08/18 09:40:00 AM,96.946,9.077,,,,,,,
4,10/08/18 09:45:00 AM,96.968,9.077,,,,,,,
5,10/08/18 09:50:00 AM,96.955,8.978,,,,,,,
6,10/08/18 09:55:00 AM,96.965,8.978,,,,,,,
7,10/08/18 10:00:00 AM,96.965,8.978,,,,,,,
8,10/08/18 10:05:00 AM,96.965,8.978,,,,,,,
9,10/08/18 10:10:00 AM,96.955,8.978,,,,,,,
10,10/08/18 10:15:00 AM,96.968,9.077,96.898,0.007,,,,,
11,10/08/18 10:20:00 AM,96.979,9.077,,0.008,,,,,
12,10/08/18 10:25:00 AM,96.957,9.077,,0.005,,,,,
13,10/08/18 10:30:00 AM,96.979,9.077,96.918,0.006,,,,,
14,10/08/18 10:35:00 AM,96.968,9.077,,0.005,,,,,
15,10/08/18 10:40:00 AM,96.946,9.077,,0.002,,,,,
16,10/08/18 10:45:00 AM,96.968,9.077,96.928,0.004,,,,,
17,10/08/18 10:50:00 AM,96.989,9.077,,0.006,,,,,
18,10/08/18 10:55:00 AM,96.970,9.176,,0.004,,,,,
19,10/08/18 11:00:00 AM,96.981,9.176,96.928,0.005,,,,,
20,10/08/18 11:05:00 AM,96.960,9.176,,0.004,,,,,
21,10/08/18 11:10:00 AM,96.949,9.176,,0.005,,,,,
22,10/08/18 11:15:00 AM,96.938,9.176,96.892,0.005,,,,,
23,10/08/18 11:20:00 AM,96.941,9.275,,0.005,,,,,
24,10/08/18 11:25:00 AM,96.941,9.275,,0.005,,,,,
25,10/08/18 11:30:00 AM,96.941,9.275,96.890,0.005,,,,,
26,10/08/18 11:35:00 AM,96.933,9.373,,0.006,,,,,
27,10/08/18 11:40:00 AM,96.922,9.373,,0.006,,,,,
28,10/08/18 11:45:00 AM,96.911,9.373,96.855,0.006,,,,,
29,10/08/18 11:50:00 AM,96.911,9.373,,0.006,,,,,
30,10/08/18 11:55:00 AM,96.901,9.373,,0.006,,,,,
31,10/08/18 12:00:00 PM,96.890,9.373,96.835,0.006,,,,,
32,10/08/18 12:05:00 PM,96.882,9.472,,0.005,,,,,
33,10/08/18 12:10:00 PM,96.882,9.472,,0.005,,,,,
34,10/08/18 12:15:00 PM,96.871,9.472,96.829,0.004,,,,,
35,10/08/18 12:20:00 PM,96.882,9.472,,0.006,,,,,
36,10/08/18 12:25:00 PM,96.871,9.472,,0.006,,,,,
37,10/08/18 12:30:00 PM,96.863,9.571,96.803,0.006,,,,,
38,10/08/18 12:35:00 PM,96.852,9.571,,0.005,,,,,
39,10/08/18 12:40:00 PM,96.852,9.571,,0.006,,,,,
40,10/08/18 12:45:00 PM,96.841,9.571,96.793,0.005,,,,,
