"Plot Title: 10754451_SF-C_180719"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10754451, SEN S/N: 10754451)","Temp, °C (LGR S/N: 10754451, SEN S/N: 10754451)","Abs Pres Barom., kPa (LGR S/N: 10710527, SEN S/N: 10710527)","Sensor Depth, meters (LGR S/N: 10754451)","Coupler Detached (LGR S/N: 10754451)","Coupler Attached (LGR S/N: 10754451)","Host Connected (LGR S/N: 10754451)","Stopped (LGR S/N: 10754451)","End Of File (LGR S/N: 10754451)"
1,10/08/18 10:15:00 AM,96.646,9.472,96.898,-0.026,Logged,,,,
2,10/08/18 10:20:00 AM,96.644,9.373,,-0.027,,,,,
3,10/08/18 10:25:00 AM,96.638,9.176,,-0.028,,,,,
4,10/08/18 10:30:00 AM,96.667,9.077,96.918,-0.026,,,,,
5,10/08/18 10:35:00 AM,96.651,9.077,,-0.028,,,,,
6,10/08/18 10:40:00 AM,96.648,8.978,,-0.028,,,,,
7,10/08/18 10:45:00 AM,96.648,8.978,96.928,-0.029,,,,,
8,10/08/18 10:50:00 AM,96.664,8.978,,-0.027,,,,,
9,10/08/18 10:55:00 AM,96.664,8.978,,-0.027,,,,,
10,10/08/18 11:00:00 AM,96.664,8.978,96.928,-0.027,,,,,
11,10/08/18 11:05:00 AM,96.648,8.978,,-0.027,,,,,
12,10/08/18 11:10:00 AM,96.633,8.978,,-0.028,,,,,
13,10/08/18 11:15:00 AM,96.618,8.978,96.892,-0.028,,,,,
14,10/08/18 11:20:00 AM,96.618,8.978,,-0.028,,,,,
15,10/08/18 11:25:00 AM,96.618,8.978,,-0.028,,,,,
16,10/08/18 11:30:00 AM,96.618,8.978,96.890,-0.028,,,,,
17,10/08/18 11:35:00 AM,96.587,8.978,,-0.030,,,,,
18,10/08/18 11:40:00 AM,96.590,9.077,,-0.028,,,,,
19,10/08/18 11:45:00 AM,96.574,9.077,96.855,-0.029,,,,,
20,10/08/18 11:50:00 AM,96.574,9.077,,-0.028,,,,,
21,10/08/18 11:55:00 AM,96.559,9.077,,-0.029,,,,,
22,10/08/18 12:00:00 PM,96.559,9.077,96.835,-0.028,,,,,
23,10/08/18 12:05:00 PM,96.546,9.176,,-0.029,,,,,
24,10/08/18 12:10:00 PM,96.561,9.176,,-0.028,,,,,
25,10/08/18 12:15:00 PM,96.546,9.176,96.829,-0.029,,,,,
26,10/08/18 12:20:00 PM,96.546,9.176,,-0.028,,,,,
27,10/08/18 12:25:00 PM,96.531,9.176,,-0.029,,,,,
28,10/08/18 12:30:00 PM,96.515,9.176,96.803,-0.029,,,,,
29,10/08/18 12:35:00 PM,96.533,9.275,,-0.027,,,,,
30,10/08/18 12:40:00 PM,96.533,9.275,,-0.027,,,,,
31,10/08/18 12:45:00 PM,96.518,9.275,96.793,-0.028,,,,,
32,10/08/18 12:50:00 PM,96.502,9.275,,-0.029,,,,,
33,10/08/18 12:55:00 PM,96.502,9.275,,-0.027,,,,,
34,10/08/18 01:00:00 PM,96.487,9.275,96.759,-0.028,,,,,
35,10/08/18 01:05:00 PM,96.502,9.275,,-0.026,,,,,
36,10/08/18 01:10:00 PM,96.502,9.275,,-0.026,,,,,
37,10/08/18 01:15:00 PM,96.487,9.275,96.759,-0.028,,,,,
38,10/08/18 01:20:00 PM,96.502,9.275,,-0.027,,,,,
39,10/08/18 01:25:00 PM,96.502,9.275,,-0.027,,,,,
40,10/08/18 01:30:00 PM,96.502,9.275,96.775,-0.028,,,,,
41,10/08/18 01:35:00 PM,96.500,9.176,,-0.027,,,,,
42,10/08/18 01:40:00 PM,96.500,9.176,,-0.027,,,,,
43,10/08/18 01:45:00 PM,96.484,9.176,96.756,-0.028,,,,,
44,10/08/18 01:50:00 PM,96.484,9.176,,-0.028,,,,,
45,10/08/18 01:55:00 PM,96.484,9.176,,-0.028,,,,,
46,10/08/18 02:00:00 PM,96.484,9.176,96.756,-0.028,,,,,
47,10/08/18 02:05:00 PM,96.484,9.176,,-0.028,,,,,
48,10/08/18 02:10:00 PM,96.500,9.176,,-0.026,,,,,
49,10/08/18 02:15:00 PM,96.482,9.077,96.752,-0.028,,,,,
50,10/08/18 02:20:00 PM,96.482,9.077,,-0.027,,,,,
51,10/08/18 02:25:00 PM,96.482,9.077,,-0.027,,,,,
52,10/08/18 02:30:00 PM,96.466,9.077,96.748,-0.029,,,,,
53,10/08/18 02:35:00 PM,96.466,9.077,,-0.028,,,,,
54,10/08/18 02:40:00 PM,96.451,9.077,,-0.029,,,,,
55,10/08/18 02:45:00 PM,96.451,9.077,96.734,-0.029,,,,,
56,10/08/18 02:50:00 PM,96.436,9.077,,-0.030,,,,,
57,10/08/18 02:55:00 PM,96.436,9.077,,-0.029,,,,,
58,10/08/18 03:00:00 PM,96.448,8.978,96.720,-0.028,,,,,
59,10/08/18 03:05:00 PM,96.433,8.978,,-0.029,,,,,
60,10/08/18 03:10:00 PM,96.433,8.978,,-0.029,,,,,
61,10/08/18 03:15:00 PM,96.433,8.978,96.716,-0.029,,,,,
62,10/08/18 03:20:00 PM,96.417,8.978,,-0.031,,,,,
63,10/08/18 03:25:00 PM,96.430,8.879,,-0.030,,,,,
64,10/08/18 03:30:00 PM,96.430,8.879,96.722,-0.030,,,,,
65,10/08/18 03:35:00 PM,96.446,8.879,,-0.027,,,,,
66,10/08/18 03:40:00 PM,96.415,8.879,,-0.028,,,,,
67,10/08/18 03:45:00 PM,96.397,8.779,96.679,-0.029,,,,,
68,10/08/18 03:50:00 PM,96.412,8.779,,-0.027,,,,,
69,10/08/18 03:55:00 PM,96.397,8.779,,-0.029,,,,,
70,10/08/18 04:00:00 PM,96.397,8.779,96.685,-0.029,,,,,
71,10/08/18 04:05:00 PM,96.381,8.779,,-0.029,,,,,
72,10/08/18 04:10:00 PM,96.379,8.680,,-0.027,,,,,
73,10/08/18 04:15:00 PM,96.363,8.680,96.625,-0.027,,,,,
74,10/08/18 04:20:00 PM,96.363,8.680,,-0.027,,,,,
75,10/08/18 04:25:00 PM,96.363,8.680,,-0.028,,,,,
76,10/08/18 04:30:00 PM,96.363,8.680,96.645,-0.029,,,,,
77,10/08/18 04:35:00 PM,96.363,8.680,,-0.029,,,,,
78,10/08/18 04:40:00 PM,96.363,8.680,,-0.028,,,,,
79,10/08/18 04:45:00 PM,96.363,8.680,96.641,-0.028,,,,,
80,10/08/18 04:50:00 PM,96.361,8.581,,-0.029,,,,,
81,10/08/18 04:55:00 PM,96.361,8.581,,-0.029,,,,,
82,10/08/18 05:00:00 PM,96.376,8.581,96.647,-0.028,,,,,
83,10/08/18 05:05:00 PM,96.376,8.581,,-0.027,,,,,
84,10/08/18 05:10:00 PM,96.373,8.481,,-0.027,,,,,
85,10/08/18 05:15:00 PM,96.373,8.481,96.627,-0.026,,,,,
86,10/08/18 05:20:00 PM,96.373,8.481,,-0.025,,,,,
87,10/08/18 05:25:00 PM,96.358,8.481,,-0.026,,,,,
88,10/08/18 05:30:00 PM,96.342,8.481,96.608,-0.027,,,,,
89,10/08/18 05:35:00 PM,96.327,8.481,,-0.029,,,,,
90,10/08/18 05:40:00 PM,96.342,8.481,,-0.028,,,,,
91,10/08/18 05:45:00 PM,96.358,8.481,96.617,-0.026,,,,,
92,10/08/18 05:50:00 PM,96.358,8.481,,-0.027,,,,,
93,10/08/18 05:55:00 PM,96.358,8.481,,-0.027,,,,,
94,10/08/18 06:00:00 PM,96.355,8.382,96.623,-0.027,,,,,
95,10/08/18 06:05:00 PM,96.371,8.382,,-0.025,,,,,
96,10/08/18 06:10:00 PM,96.355,8.382,,-0.027,,,,,
97,10/08/18 06:15:00 PM,96.340,8.382,96.613,-0.028,,,,,
98,10/08/18 06:20:00 PM,96.340,8.382,,-0.028,,,,,
99,10/08/18 06:25:00 PM,96.355,8.382,,-0.027,,,,,
100,10/08/18 06:30:00 PM,96.355,8.382,96.627,-0.028,,,,,
101,10/08/18 06:35:00 PM,96.340,8.382,,-0.030,,,,,
102,10/08/18 06:40:00 PM,96.355,8.382,,-0.028,,,,,
103,10/08/18 06:45:00 PM,96.371,8.382,96.637,-0.027,,,,,
104,10/08/18 06:50:00 PM,96.358,8.481,,-0.028,,,,,
105,10/08/18 06:55:00 PM,96.342,8.481,,-0.029,,,,,
106,10/08/18 07:00:00 PM,96.342,8.481,96.621,-0.028,,,,,
107,10/08/18 07:05:00 PM,96.342,8.481,,-0.028,,,,,
108,10/08/18 07:10:00 PM,96.342,8.481,,-0.028,,,,,
109,10/08/18 07:15:00 PM,96.342,8.481,96.621,-0.028,,,,,
110,10/08/18 07:20:00 PM,96.327,8.481,,-0.029,,,,,
111,10/08/18 07:25:00 PM,96.327,8.481,,-0.029,,,,,
112,10/08/18 07:30:00 PM,96.342,8.481,96.605,-0.027,,,,,
113,10/08/18 07:35:00 PM,96.327,8.481,,-0.028,,,,,
114,10/08/18 07:40:00 PM,96.327,8.481,,-0.028,,,,,
115,10/08/18 07:45:00 PM,96.327,8.481,96.596,-0.027,,,,,
116,10/08/18 07:50:00 PM,96.330,8.581,,-0.027,,,,,
117,10/08/18 07:55:00 PM,96.330,8.581,,-0.027,,,,,
118,10/08/18 08:00:00 PM,96.330,8.581,96.599,-0.027,,,,,
119,10/08/18 08:05:00 PM,96.330,8.581,,-0.027,,,,,
120,10/08/18 08:10:00 PM,96.330,8.581,,-0.027,,,,,
121,10/08/18 08:15:00 PM,96.314,8.581,96.599,-0.029,,,,,
122,10/08/18 08:20:00 PM,96.314,8.581,,-0.028,,,,,
123,10/08/18 08:25:00 PM,96.299,8.581,,-0.029,,,,,
124,10/08/18 08:30:00 PM,96.314,8.581,96.574,-0.027,,,,,
125,10/08/18 08:35:00 PM,96.302,8.680,,-0.028,,,,,
126,10/08/18 08:40:00 PM,96.317,8.680,,-0.027,,,,,
127,10/08/18 08:45:00 PM,96.317,8.680,96.587,-0.028,,,,,
128,10/08/18 08:50:00 PM,96.317,8.680,,-0.028,,,,,
129,10/08/18 08:55:00 PM,96.332,8.680,,-0.026,,,,,
130,10/08/18 09:00:00 PM,96.302,8.680,96.587,-0.029,,,,,
131,10/08/18 09:05:00 PM,96.302,8.680,,-0.029,,,,,
132,10/08/18 09:10:00 PM,96.317,8.680,,-0.027,,,,,
133,10/08/18 09:15:00 PM,96.304,8.779,96.578,-0.028,,,,,
134,10/08/18 09:20:00 PM,96.304,8.779,,-0.028,,,,,
135,10/08/18 09:25:00 PM,96.289,8.779,,-0.029,,,,,
136,10/08/18 09:30:00 PM,96.289,8.779,96.572,-0.029,,,,,
137,10/08/18 09:35:00 PM,96.274,8.779,,-0.029,,,,,
138,10/08/18 09:40:00 PM,96.274,8.779,,-0.028,,,,,
139,10/08/18 09:45:00 PM,96.274,8.779,96.532,-0.026,,,,,
140,10/08/18 09:50:00 PM,96.258,8.779,,-0.027,,,,,
141,10/08/18 09:55:00 PM,96.258,8.779,,-0.027,,,,,
142,10/08/18 10:00:00 PM,96.258,8.779,96.512,-0.026,,,,,
143,10/08/18 10:05:00 PM,96.261,8.879,,-0.026,,,,,
144,10/08/18 10:10:00 PM,96.261,8.879,,-0.026,,,,,
145,10/08/18 10:15:00 PM,96.245,8.879,96.516,-0.028,,,,,
146,10/08/18 10:20:00 PM,96.261,8.879,,-0.026,,,,,
147,10/08/18 10:25:00 PM,96.261,8.879,,-0.025,,,,,
148,10/08/18 10:30:00 PM,96.261,8.879,96.506,-0.025,,,,,
149,10/08/18 10:35:00 PM,96.245,8.879,,-0.026,,,,,
150,10/08/18 10:40:00 PM,96.245,8.879,,-0.026,,,,,
151,10/08/18 10:45:00 PM,96.230,8.879,96.500,-0.028,,,,,
152,10/08/18 10:50:00 PM,96.230,8.879,,-0.027,,,,,
153,10/08/18 10:55:00 PM,96.233,8.978,,-0.027,,,,,
154,10/08/18 11:00:00 PM,96.233,8.978,96.490,-0.026,,,,,
155,10/08/18 11:05:00 PM,96.233,8.978,,-0.026,,,,,
156,10/08/18 11:10:00 PM,96.233,8.978,,-0.026,,,,,
157,10/08/18 11:15:00 PM,96.233,8.978,96.484,-0.026,,,,,
158,10/08/18 11:20:00 PM,96.217,8.978,,-0.027,,,,,
159,10/08/18 11:25:00 PM,96.217,8.978,,-0.027,,,,,
160,10/08/18 11:30:00 PM,96.220,9.077,96.478,-0.026,,,,,
161,10/08/18 11:35:00 PM,96.205,9.077,,-0.027,,,,,
162,10/08/18 11:40:00 PM,96.205,9.077,,-0.026,,,,,
163,10/08/18 11:45:00 PM,96.189,9.077,96.458,-0.027,,,,,
164,10/08/18 11:50:00 PM,96.189,9.077,,-0.027,,,,,
165,10/08/18 11:55:00 PM,96.174,9.077,,-0.028,,,,,
166,10/09/18 12:00:00 AM,96.174,9.077,96.449,-0.028,,,,,
167,10/09/18 12:05:00 AM,96.158,9.077,,-0.029,,,,,
168,10/09/18 12:10:00 AM,96.146,9.176,,-0.029,,,,,
169,10/09/18 12:15:00 AM,96.161,9.176,96.423,-0.027,,,,,
170,10/09/18 12:20:00 AM,96.161,9.176,,-0.026,,,,,
171,10/09/18 12:25:00 AM,96.176,9.176,,-0.025,,,,,
172,10/09/18 12:30:00 AM,96.161,9.176,96.413,-0.026,,,,,
173,10/09/18 12:35:00 AM,96.146,9.176,,-0.027,,,,,
174,10/09/18 12:40:00 AM,96.146,9.176,,-0.027,,,,,
175,10/09/18 12:45:00 AM,96.146,9.176,96.413,-0.027,,,,,
176,10/09/18 12:50:00 AM,96.161,9.176,,-0.026,,,,,
177,10/09/18 12:55:00 AM,96.146,9.176,,-0.028,,,,,
178,10/09/18 01:00:00 AM,96.148,9.275,96.427,-0.028,,,,,
179,10/09/18 01:05:00 AM,96.148,9.275,,-0.027,,,,,
180,10/09/18 01:10:00 AM,96.118,9.275,,-0.029,,,,,
