"Plot Title: 10710534_SF-D_180719"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10710534, SEN S/N: 10710534)","Temp, °C (LGR S/N: 10710534, SEN S/N: 10710534)","Abs Pres Barom., kPa (LGR S/N: 10710527, SEN S/N: 10710527)","Sensor Depth, meters (LGR S/N: 10710534)","Coupler Detached (LGR S/N: 10710534)","Coupler Attached (LGR S/N: 10710534)","Stopped (LGR S/N: 10710534)","End Of File (LGR S/N: 10710534)"
1,09/07/18 03:40:00 PM,95.903,16.427,,,Logged,,,
2,09/07/18 03:45:00 PM,95.903,16.427,,,,,,
3,09/07/18 03:50:00 PM,95.887,16.523,,,,,,
4,09/07/18 03:55:00 PM,95.898,16.523,,,,,,
5,09/07/18 04:00:00 PM,95.881,16.427,,,,,,
6,09/07/18 04:05:00 PM,95.870,16.427,,,,,,
7,09/07/18 04:10:00 PM,95.881,16.427,,,,,,
8,09/07/18 04:15:00 PM,95.864,16.332,,,,,,
9,09/07/18 04:20:00 PM,95.864,16.332,,,,,,
10,09/07/18 04:25:00 PM,95.875,16.332,,,,,,
11,09/07/18 04:30:00 PM,95.859,16.237,,,,,,
12,09/07/18 04:35:00 PM,95.881,16.237,,,,,,
13,09/07/18 04:40:00 PM,95.853,16.141,,,,,,
14,09/07/18 04:45:00 PM,95.875,16.141,,,,,,
15,09/07/18 04:50:00 PM,95.892,16.046,,,,,,
16,09/07/18 04:55:00 PM,95.892,16.046,,,,,,
17,09/07/18 05:00:00 PM,95.887,15.951,95.899,-0.001,,,,
18,09/07/18 05:05:00 PM,95.881,15.855,,-0.002,,,,
19,09/07/18 05:10:00 PM,95.898,15.760,,-0.001,,,,
20,09/07/18 05:15:00 PM,95.870,15.664,95.912,-0.004,,,,
21,09/07/18 05:20:00 PM,95.886,15.569,,-0.003,,,,
22,09/07/18 05:25:00 PM,95.881,15.473,,-0.004,,,,
23,09/07/18 05:30:00 PM,95.897,15.378,95.927,-0.003,,,,
24,09/07/18 05:35:00 PM,95.897,15.378,,-0.003,,,,
25,09/07/18 05:40:00 PM,95.869,15.282,,-0.006,,,,
26,09/07/18 05:45:00 PM,95.875,15.187,95.924,-0.005,,,,
27,09/07/18 05:50:00 PM,95.880,15.091,,-0.004,,,,
28,09/07/18 05:55:00 PM,95.886,14.996,,-0.003,,,,
29,09/07/18 06:00:00 PM,95.891,14.900,95.915,-0.002,,,,
30,09/07/18 06:05:00 PM,95.886,14.804,,-0.004,,,,
31,09/07/18 06:10:00 PM,95.869,14.709,,-0.006,,,,
32,09/07/18 06:15:00 PM,95.891,14.709,95.939,-0.005,,,,
33,09/07/18 06:20:00 PM,95.874,14.613,,-0.006,,,,
34,09/07/18 06:25:00 PM,95.880,14.517,,-0.006,,,,
35,09/07/18 06:30:00 PM,95.891,14.517,95.935,-0.004,,,,
36,09/07/18 06:35:00 PM,95.896,14.421,,-0.005,,,,
37,09/07/18 06:40:00 PM,95.902,14.325,,-0.005,,,,
38,09/07/18 06:45:00 PM,95.935,14.325,95.961,-0.003,,,,
39,09/07/18 06:50:00 PM,95.929,14.230,,-0.004,,,,
40,09/07/18 06:55:00 PM,95.918,14.230,,-0.006,,,,
41,09/07/18 07:00:00 PM,95.941,14.230,95.987,-0.005,,,,
42,09/07/18 07:05:00 PM,95.935,14.134,,-0.005,,,,
43,09/07/18 07:10:00 PM,95.935,14.134,,-0.004,,,,
44,09/07/18 07:15:00 PM,95.918,14.038,95.972,-0.006,,,,
45,09/07/18 07:20:00 PM,95.929,14.038,,-0.005,,,,
46,09/07/18 07:25:00 PM,95.946,13.942,,-0.004,,,,
47,09/07/18 07:30:00 PM,95.940,13.846,95.986,-0.005,,,,
48,09/07/18 07:35:00 PM,95.951,13.846,,-0.004,,,,
49,09/07/18 07:40:00 PM,95.956,13.750,,-0.005,,,,
50,09/07/18 07:45:00 PM,95.940,13.654,96.008,-0.007,,,,
51,09/07/18 07:50:00 PM,95.951,13.654,,-0.006,,,,
52,09/07/18 07:55:00 PM,95.967,13.558,,-0.004,,,,
53,09/07/18 08:00:00 PM,95.978,13.558,96.005,-0.003,,,,
54,09/07/18 08:05:00 PM,95.984,13.461,,-0.002,,,,
55,09/07/18 08:10:00 PM,95.950,13.461,,-0.005,,,,
56,09/07/18 08:15:00 PM,95.956,13.365,96.001,-0.005,,,,
57,09/07/18 08:20:00 PM,95.978,13.365,,-0.003,,,,
58,09/07/18 08:25:00 PM,95.972,13.269,,-0.004,,,,
59,09/07/18 08:30:00 PM,95.972,13.269,96.019,-0.005,,,,
60,09/07/18 08:35:00 PM,95.966,13.173,,-0.005,,,,
61,09/07/18 08:40:00 PM,95.955,13.173,,-0.005,,,,
62,09/07/18 08:45:00 PM,95.961,13.076,95.996,-0.004,,,,
63,09/07/18 08:50:00 PM,95.955,12.980,,-0.004,,,,
64,09/07/18 08:55:00 PM,95.966,12.980,,-0.003,,,,
65,09/07/18 09:00:00 PM,95.960,12.883,95.994,-0.003,,,,
66,09/07/18 09:05:00 PM,95.943,12.787,,-0.005,,,,
67,09/07/18 09:10:00 PM,95.954,12.787,,-0.004,,,,
68,09/07/18 09:15:00 PM,95.932,12.787,95.994,-0.006,,,,
69,09/07/18 09:20:00 PM,95.921,12.787,,-0.007,,,,
70,09/07/18 09:25:00 PM,95.943,12.787,,-0.005,,,,
71,09/07/18 09:30:00 PM,95.932,12.787,95.988,-0.006,,,,
72,09/07/18 09:35:00 PM,95.954,12.787,,-0.003,,,,
73,09/07/18 09:40:00 PM,95.954,12.787,,-0.003,,,,
74,09/07/18 09:45:00 PM,95.949,12.690,95.974,-0.003,,,,
75,09/07/18 09:50:00 PM,95.960,12.690,,-0.002,,,,
76,09/07/18 09:55:00 PM,95.949,12.690,,-0.003,,,,
77,09/07/18 10:00:00 PM,95.949,12.690,95.984,-0.004,,,,
78,09/07/18 10:05:00 PM,95.932,12.594,,-0.006,,,,
79,09/07/18 10:10:00 PM,95.932,12.594,,-0.006,,,,
80,09/07/18 10:15:00 PM,95.943,12.594,95.998,-0.006,,,,
81,09/07/18 10:20:00 PM,95.932,12.594,,-0.007,,,,
82,09/07/18 10:25:00 PM,95.948,12.497,,-0.005,,,,
83,09/07/18 10:30:00 PM,95.970,12.497,95.998,-0.003,,,,
84,09/07/18 10:35:00 PM,95.970,12.497,,-0.003,,,,
85,09/07/18 10:40:00 PM,95.959,12.497,,-0.004,,,,
86,09/07/18 10:45:00 PM,95.942,12.401,96.000,-0.006,,,,
87,09/07/18 10:50:00 PM,95.953,12.401,,-0.005,,,,
88,09/07/18 10:55:00 PM,95.953,12.401,,-0.005,,,,
89,09/07/18 11:00:00 PM,95.965,12.401,96.000,-0.004,,,,
90,09/07/18 11:05:00 PM,95.959,12.304,,-0.005,,,,
91,09/07/18 11:10:00 PM,95.959,12.304,,-0.005,,,,
92,09/07/18 11:15:00 PM,95.959,12.304,96.016,-0.006,,,,
93,09/07/18 11:20:00 PM,95.970,12.304,,-0.004,,,,
94,09/07/18 11:25:00 PM,95.981,12.304,,-0.002,,,,
95,09/07/18 11:30:00 PM,95.975,12.207,95.990,-0.002,,,,
96,09/07/18 11:35:00 PM,95.964,12.207,,-0.003,,,,
97,09/07/18 11:40:00 PM,95.975,12.207,,-0.002,,,,
98,09/07/18 11:45:00 PM,95.975,12.207,95.998,-0.002,,,,
99,09/07/18 11:50:00 PM,95.953,12.207,,-0.005,,,,
100,09/07/18 11:55:00 PM,95.970,12.304,,-0.003,,,,
101,09/08/18 12:00:00 AM,95.959,12.304,96.002,-0.004,,,,
102,09/08/18 12:05:00 AM,95.970,12.304,,-0.003,,,,
103,09/08/18 12:10:00 AM,95.959,12.304,,-0.003,,,,
104,09/08/18 12:15:00 AM,95.959,12.304,95.986,-0.003,,,,
105,09/08/18 12:20:00 AM,95.959,12.304,,-0.004,,,,
106,09/08/18 12:25:00 AM,95.953,12.207,,-0.005,,,,
107,09/08/18 12:30:00 AM,95.953,12.207,96.016,-0.006,,,,
108,09/08/18 12:35:00 AM,95.942,12.207,,-0.006,,,,
109,09/08/18 12:40:00 AM,95.953,12.207,,-0.004,,,,
110,09/08/18 12:45:00 AM,95.931,12.207,95.978,-0.005,,,,
111,09/08/18 12:50:00 AM,95.936,12.110,,-0.004,,,,
112,09/08/18 12:55:00 AM,95.925,12.110,,-0.005,,,,
113,09/08/18 01:00:00 AM,95.936,12.110,95.968,-0.003,,,,
114,09/08/18 01:05:00 AM,95.914,12.110,,-0.005,,,,
115,09/08/18 01:10:00 AM,95.914,12.110,,-0.004,,,,
116,09/08/18 01:15:00 AM,95.914,12.110,95.951,-0.004,,,,
117,09/08/18 01:20:00 AM,95.891,12.110,,-0.006,,,,
118,09/08/18 01:25:00 AM,95.903,12.110,,-0.004,,,,
119,09/08/18 01:30:00 AM,95.903,12.110,95.943,-0.004,,,,
120,09/08/18 01:35:00 AM,95.914,12.110,,-0.003,,,,
121,09/08/18 01:40:00 AM,95.886,12.013,,-0.006,,,,
122,09/08/18 01:45:00 AM,95.908,12.013,95.945,-0.004,,,,
123,09/08/18 01:50:00 AM,95.908,12.013,,-0.004,,,,
124,09/08/18 01:55:00 AM,95.913,11.916,,-0.004,,,,
125,09/08/18 02:00:00 AM,95.924,11.916,95.961,-0.004,,,,
126,09/08/18 02:05:00 AM,95.924,11.916,,-0.003,,,,
127,09/08/18 02:10:00 AM,95.902,11.916,,-0.004,,,,
128,09/08/18 02:15:00 AM,95.902,11.916,95.931,-0.003,,,,
129,09/08/18 02:20:00 AM,95.913,11.916,,-0.003,,,,
130,09/08/18 02:25:00 AM,95.902,11.916,,-0.005,,,,
131,09/08/18 02:30:00 AM,95.913,11.916,95.955,-0.004,,,,
132,09/08/18 02:35:00 AM,95.924,11.916,,-0.004,,,,
133,09/08/18 02:40:00 AM,95.930,11.819,,-0.003,,,,
134,09/08/18 02:45:00 AM,95.930,11.819,95.967,-0.004,,,,
135,09/08/18 02:50:00 AM,95.930,11.819,,-0.004,,,,
136,09/08/18 02:55:00 AM,95.907,11.819,,-0.006,,,,
137,09/08/18 03:00:00 AM,95.930,11.819,95.963,-0.003,,,,
138,09/08/18 03:05:00 AM,95.941,11.819,,-0.002,,,,
139,09/08/18 03:10:00 AM,95.913,11.722,,-0.005,,,,
140,09/08/18 03:15:00 AM,95.935,11.722,95.959,-0.002,,,,
141,09/08/18 03:20:00 AM,95.924,11.722,,-0.004,,,,
142,09/08/18 03:25:00 AM,95.907,11.625,,-0.005,,,,
143,09/08/18 03:30:00 AM,95.929,11.625,95.961,-0.003,,,,
144,09/08/18 03:35:00 AM,95.951,11.625,,-0.002,,,,
145,09/08/18 03:40:00 AM,95.934,11.528,,-0.004,,,,
146,09/08/18 03:45:00 AM,95.956,11.528,95.977,-0.002,,,,
147,09/08/18 03:50:00 AM,95.962,11.431,,-0.002,,,,
148,09/08/18 03:55:00 AM,95.973,11.431,,-0.002,,,,
149,09/08/18 04:00:00 AM,95.956,11.334,95.999,-0.004,,,,
150,09/08/18 04:05:00 AM,95.956,11.334,,-0.004,,,,
151,09/08/18 04:10:00 AM,95.972,11.236,,-0.002,,,,
152,09/08/18 04:15:00 AM,95.972,11.236,95.988,-0.002,,,,
153,09/08/18 04:20:00 AM,95.988,11.139,,-0.001,,,,
154,09/08/18 04:25:00 AM,95.999,11.139,,-0.001,,,,
155,09/08/18 04:30:00 AM,95.982,11.041,96.016,-0.003,,,,
