"Plot Title: 10710534_SF-D_180719"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10710534, SEN S/N: 10710534)","Temp, °C (LGR S/N: 10710534, SEN S/N: 10710534)","Abs Pres Barom., kPa (LGR S/N: 10710527, SEN S/N: 10710527)","Sensor Depth, meters (LGR S/N: 10710534)","Coupler Detached (LGR S/N: 10710534)","Coupler Attached (LGR S/N: 10710534)","Host Connected (LGR S/N: 10710534)","Stopped (LGR S/N: 10710534)","End Of File (LGR S/N: 10710534)"
1,10/08/18 10:10:00 AM,96.817,9.077,,,Logged,,,,
2,10/08/18 10:15:00 AM,96.817,9.077,96.898,-0.008,,,,,
3,10/08/18 10:20:00 AM,96.833,8.978,,-0.007,,,,,
4,10/08/18 10:25:00 AM,96.822,8.978,,-0.009,,,,,
5,10/08/18 10:30:00 AM,96.838,8.879,96.918,-0.008,,,,,
6,10/08/18 10:35:00 AM,96.816,8.879,,-0.011,,,,,
7,10/08/18 10:40:00 AM,96.827,8.879,,-0.010,,,,,
8,10/08/18 10:45:00 AM,96.827,8.879,96.928,-0.010,,,,,
9,10/08/18 10:50:00 AM,96.838,8.879,,-0.009,,,,,
10,10/08/18 10:55:00 AM,96.838,8.879,,-0.009,,,,,
11,10/08/18 11:00:00 AM,96.827,8.879,96.928,-0.010,,,,,
12,10/08/18 11:05:00 AM,96.827,8.879,,-0.009,,,,,
13,10/08/18 11:10:00 AM,96.811,8.978,,-0.009,,,,,
14,10/08/18 11:15:00 AM,96.789,8.978,96.892,-0.011,,,,,
15,10/08/18 11:20:00 AM,96.778,8.978,,-0.012,,,,,
16,10/08/18 11:25:00 AM,96.767,8.978,,-0.013,,,,,
17,10/08/18 11:30:00 AM,96.795,9.077,96.890,-0.010,,,,,
18,10/08/18 11:35:00 AM,96.773,9.077,,-0.011,,,,,
19,10/08/18 11:40:00 AM,96.773,9.077,,-0.010,,,,,
20,10/08/18 11:45:00 AM,96.757,9.176,96.855,-0.010,,,,,
21,10/08/18 11:50:00 AM,96.746,9.176,,-0.010,,,,,
22,10/08/18 11:55:00 AM,96.746,9.176,,-0.010,,,,,
23,10/08/18 12:00:00 PM,96.757,9.176,96.835,-0.008,,,,,
24,10/08/18 12:05:00 PM,96.735,9.176,,-0.010,,,,,
25,10/08/18 12:10:00 PM,96.746,9.176,,-0.009,,,,,
26,10/08/18 12:15:00 PM,96.735,9.176,96.829,-0.010,,,,,
27,10/08/18 12:20:00 PM,96.730,9.275,,-0.009,,,,,
28,10/08/18 12:25:00 PM,96.730,9.275,,-0.008,,,,,
29,10/08/18 12:30:00 PM,96.707,9.275,96.803,-0.010,,,,,
30,10/08/18 12:35:00 PM,96.696,9.275,,-0.011,,,,,
31,10/08/18 12:40:00 PM,96.696,9.275,,-0.010,,,,,
32,10/08/18 12:45:00 PM,96.685,9.275,96.793,-0.011,,,,,
33,10/08/18 12:50:00 PM,96.674,9.275,,-0.011,,,,,
34,10/08/18 12:55:00 PM,96.685,9.275,,-0.009,,,,,
35,10/08/18 01:00:00 PM,96.669,9.373,96.759,-0.009,,,,,
36,10/08/18 01:05:00 PM,96.669,9.373,,-0.009,,,,,
37,10/08/18 01:10:00 PM,96.669,9.373,,-0.009,,,,,
38,10/08/18 01:15:00 PM,96.680,9.373,96.759,-0.008,,,,,
39,10/08/18 01:20:00 PM,96.674,9.275,,-0.009,,,,,
40,10/08/18 01:25:00 PM,96.685,9.275,,-0.009,,,,,
41,10/08/18 01:30:00 PM,96.696,9.275,96.775,-0.008,,,,,
42,10/08/18 01:35:00 PM,96.685,9.275,,-0.009,,,,,
43,10/08/18 01:40:00 PM,96.674,9.275,,-0.009,,,,,
44,10/08/18 01:45:00 PM,96.663,9.275,96.756,-0.009,,,,,
45,10/08/18 01:50:00 PM,96.663,9.275,,-0.009,,,,,
46,10/08/18 01:55:00 PM,96.696,9.275,,-0.006,,,,,
47,10/08/18 02:00:00 PM,96.674,9.275,96.756,-0.008,,,,,
48,10/08/18 02:05:00 PM,96.674,9.275,,-0.008,,,,,
49,10/08/18 02:10:00 PM,96.668,9.176,,-0.009,,,,,
50,10/08/18 02:15:00 PM,96.679,9.176,96.752,-0.007,,,,,
51,10/08/18 02:20:00 PM,96.679,9.176,,-0.007,,,,,
52,10/08/18 02:25:00 PM,96.657,9.176,,-0.009,,,,,
53,10/08/18 02:30:00 PM,96.646,9.176,96.748,-0.010,,,,,
54,10/08/18 02:35:00 PM,96.640,9.077,,-0.011,,,,,
55,10/08/18 02:40:00 PM,96.646,9.176,,-0.009,,,,,
56,10/08/18 02:45:00 PM,96.640,9.077,96.734,-0.010,,,,,
57,10/08/18 02:50:00 PM,96.640,9.077,,-0.009,,,,,
58,10/08/18 02:55:00 PM,96.640,9.077,,-0.009,,,,,
59,10/08/18 03:00:00 PM,96.640,9.077,96.720,-0.008,,,,,
60,10/08/18 03:05:00 PM,96.628,9.077,,-0.009,,,,,
61,10/08/18 03:10:00 PM,96.628,9.077,,-0.009,,,,,
62,10/08/18 03:15:00 PM,96.611,8.978,96.716,-0.011,,,,,
63,10/08/18 03:20:00 PM,96.600,8.978,,-0.012,,,,,
64,10/08/18 03:25:00 PM,96.611,8.978,,-0.011,,,,,
65,10/08/18 03:30:00 PM,96.611,8.978,96.722,-0.011,,,,,
66,10/08/18 03:35:00 PM,96.633,8.978,,-0.008,,,,,
67,10/08/18 03:40:00 PM,96.594,8.879,,-0.010,,,,,
68,10/08/18 03:45:00 PM,96.594,8.879,96.679,-0.009,,,,,
69,10/08/18 03:50:00 PM,96.594,8.879,,-0.009,,,,,
70,10/08/18 03:55:00 PM,96.594,8.879,,-0.009,,,,,
71,10/08/18 04:00:00 PM,96.605,8.879,96.685,-0.008,,,,,
72,10/08/18 04:05:00 PM,96.577,8.779,,-0.009,,,,,
73,10/08/18 04:10:00 PM,96.566,8.779,,-0.008,,,,,
74,10/08/18 04:15:00 PM,96.577,8.779,96.625,-0.005,,,,,
75,10/08/18 04:20:00 PM,96.543,8.779,,-0.009,,,,,
76,10/08/18 04:25:00 PM,96.555,8.779,,-0.008,,,,,
77,10/08/18 04:30:00 PM,96.555,8.779,96.645,-0.009,,,,,
78,10/08/18 04:35:00 PM,96.555,8.779,,-0.009,,,,,
79,10/08/18 04:40:00 PM,96.548,8.680,,-0.010,,,,,
80,10/08/18 04:45:00 PM,96.571,8.680,96.641,-0.007,,,,,
81,10/08/18 04:50:00 PM,96.559,8.680,,-0.009,,,,,
82,10/08/18 04:55:00 PM,96.559,8.680,,-0.009,,,,,
83,10/08/18 05:00:00 PM,96.571,8.680,96.647,-0.008,,,,,
84,10/08/18 05:05:00 PM,96.564,8.581,,-0.008,,,,,
85,10/08/18 05:10:00 PM,96.564,8.581,,-0.007,,,,,
86,10/08/18 05:15:00 PM,96.542,8.581,96.627,-0.009,,,,,
87,10/08/18 05:20:00 PM,96.564,8.581,,-0.006,,,,,
88,10/08/18 05:25:00 PM,96.531,8.581,,-0.008,,,,,
89,10/08/18 05:30:00 PM,96.531,8.581,96.608,-0.008,,,,,
90,10/08/18 05:35:00 PM,96.520,8.581,,-0.009,,,,,
91,10/08/18 05:40:00 PM,96.531,8.581,,-0.008,,,,,
92,10/08/18 05:45:00 PM,96.536,8.481,96.617,-0.008,,,,,
93,10/08/18 05:50:00 PM,96.514,8.481,,-0.011,,,,,
94,10/08/18 05:55:00 PM,96.547,8.481,,-0.008,,,,,
95,10/08/18 06:00:00 PM,96.536,8.481,96.623,-0.009,,,,,
96,10/08/18 06:05:00 PM,96.536,8.481,,-0.009,,,,,
97,10/08/18 06:10:00 PM,96.536,8.481,,-0.008,,,,,
98,10/08/18 06:15:00 PM,96.547,8.481,96.613,-0.007,,,,,
99,10/08/18 06:20:00 PM,96.558,8.481,,-0.006,,,,,
100,10/08/18 06:25:00 PM,96.536,8.481,,-0.009,,,,,
101,10/08/18 06:30:00 PM,96.536,8.481,96.627,-0.009,,,,,
102,10/08/18 06:35:00 PM,96.547,8.481,,-0.008,,,,,
103,10/08/18 06:40:00 PM,96.547,8.481,,-0.009,,,,,
104,10/08/18 06:45:00 PM,96.547,8.481,96.637,-0.009,,,,,
105,10/08/18 06:50:00 PM,96.536,8.481,,-0.010,,,,,
106,10/08/18 06:55:00 PM,96.514,8.481,,-0.011,,,,,
107,10/08/18 07:00:00 PM,96.536,8.481,96.621,-0.009,,,,,
108,10/08/18 07:05:00 PM,96.520,8.581,,-0.010,,,,,
109,10/08/18 07:10:00 PM,96.520,8.581,,-0.010,,,,,
110,10/08/18 07:15:00 PM,96.520,8.581,96.621,-0.010,,,,,
111,10/08/18 07:20:00 PM,96.520,8.581,,-0.010,,,,,
112,10/08/18 07:25:00 PM,96.509,8.581,,-0.010,,,,,
113,10/08/18 07:30:00 PM,96.509,8.581,96.605,-0.010,,,,,
114,10/08/18 07:35:00 PM,96.509,8.581,,-0.009,,,,,
115,10/08/18 07:40:00 PM,96.498,8.581,,-0.010,,,,,
116,10/08/18 07:45:00 PM,96.498,8.581,96.596,-0.010,,,,,
117,10/08/18 07:50:00 PM,96.498,8.581,,-0.010,,,,,
118,10/08/18 07:55:00 PM,96.487,8.581,,-0.011,,,,,
119,10/08/18 08:00:00 PM,96.487,8.581,96.599,-0.011,,,,,
120,10/08/18 08:05:00 PM,96.504,8.680,,-0.010,,,,,
121,10/08/18 08:10:00 PM,96.526,8.680,,-0.007,,,,,
122,10/08/18 08:15:00 PM,96.515,8.680,96.599,-0.009,,,,,
123,10/08/18 08:20:00 PM,96.515,8.680,,-0.008,,,,,
124,10/08/18 08:25:00 PM,96.504,8.680,,-0.008,,,,,
125,10/08/18 08:30:00 PM,96.493,8.680,96.574,-0.008,,,,,
126,10/08/18 08:35:00 PM,96.493,8.680,,-0.009,,,,,
127,10/08/18 08:40:00 PM,96.482,8.680,,-0.010,,,,,
128,10/08/18 08:45:00 PM,96.488,8.779,96.587,-0.010,,,,,
129,10/08/18 08:50:00 PM,96.510,8.779,,-0.008,,,,,
130,10/08/18 08:55:00 PM,96.510,8.779,,-0.008,,,,,
131,10/08/18 09:00:00 PM,96.510,8.779,96.587,-0.008,,,,,
132,10/08/18 09:05:00 PM,96.499,8.779,,-0.009,,,,,
133,10/08/18 09:10:00 PM,96.499,8.779,,-0.008,,,,,
134,10/08/18 09:15:00 PM,96.499,8.779,96.578,-0.008,,,,,
135,10/08/18 09:20:00 PM,96.510,8.779,,-0.007,,,,,
