"Plot Title: 10563962_TF-B_180719"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10563962, SEN S/N: 10563962, LBL: P)","Temp, °C (LGR S/N: 10563962, SEN S/N: 10563962, LBL: T)","Abs Pres Barom., kPa (LGR S/N: 10710527, SEN S/N: 10710527)","Sensor Depth, meters (LGR S/N: 10563962)","Coupler Detached (LGR S/N: 10563962)","Coupler Attached (LGR S/N: 10563962)","Host Connected (LGR S/N: 10563962)","Stopped (LGR S/N: 10563962)","End Of File (LGR S/N: 10563962)"
1,10/08/18 09:50:00 AM,97.081,10.161,,,Logged,,,,
2,10/08/18 09:55:00 AM,97.083,9.866,,,,,,,
3,10/08/18 10:00:00 AM,97.085,9.571,,,,,,,
4,10/08/18 10:05:00 AM,97.089,9.373,,,,,,,
5,10/08/18 10:10:00 AM,97.074,9.176,,,,,,,
6,10/08/18 10:15:00 AM,97.082,9.077,96.898,0.019,,,,,
7,10/08/18 10:20:00 AM,97.082,9.077,,0.018,,,,,
8,10/08/18 10:25:00 AM,97.089,8.978,,0.018,,,,,
9,10/08/18 10:30:00 AM,97.098,8.978,96.918,0.018,,,,,
10,10/08/18 10:35:00 AM,97.086,8.879,,0.017,,,,,
11,10/08/18 10:40:00 AM,97.076,8.879,,0.015,,,,,
12,10/08/18 10:45:00 AM,97.086,8.879,96.928,0.016,,,,,
13,10/08/18 10:50:00 AM,97.106,8.879,,0.018,,,,,
14,10/08/18 10:55:00 AM,97.106,8.879,,0.018,,,,,
15,10/08/18 11:00:00 AM,97.096,8.879,96.928,0.017,,,,,
16,10/08/18 11:05:00 AM,97.066,8.879,,0.015,,,,,
17,10/08/18 11:10:00 AM,97.066,8.879,,0.017,,,,,
18,10/08/18 11:15:00 AM,97.047,8.879,96.892,0.016,,,,,
19,10/08/18 11:20:00 AM,97.066,8.879,,0.018,,,,,
20,10/08/18 11:25:00 AM,97.050,8.978,,0.016,,,,,
21,10/08/18 11:30:00 AM,97.050,8.978,96.890,0.016,,,,,
22,10/08/18 11:35:00 AM,97.040,8.978,,0.016,,,,,
