"Plot Title: 10754452_TF-D_180719"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10754452, SEN S/N: 10754452)","Temp, °C (LGR S/N: 10754452, SEN S/N: 10754452)","Abs Pres Barom., kPa (LGR S/N: 10710530, SEN S/N: 10710530)","Sensor Depth, meters (LGR S/N: 10754452)","Coupler Detached (LGR S/N: 10754452)","Coupler Attached (LGR S/N: 10754452)","Stopped (LGR S/N: 10754452)","End Of File (LGR S/N: 10754452)"
1,07/14/18 12:00:00 PM,,,95.400,,,,,
2,07/14/18 12:15:00 PM,,,95.397,,,,,
3,07/14/18 12:30:00 PM,,,95.397,,,,,
4,07/14/18 12:45:00 PM,,,95.379,,,,,
5,07/14/18 01:00:00 PM,,,95.368,,,,,
6,07/14/18 01:15:00 PM,,,95.346,,,,,
7,07/14/18 01:30:00 PM,,,95.357,,,,,
8,07/14/18 01:45:00 PM,,,95.361,,,,,
9,07/14/18 02:00:00 PM,,,95.354,,,,,
10,07/14/18 02:15:00 PM,,,95.340,,,,,
11,07/14/18 02:30:00 PM,,,95.330,,,,,
12,07/14/18 02:45:00 PM,,,95.326,,,,,
13,07/14/18 03:00:00 PM,,,95.326,,,,,
14,07/14/18 03:15:00 PM,,,95.326,,,,,
15,07/14/18 03:30:00 PM,,,95.319,,,,,
16,07/14/18 03:45:00 PM,,,95.301,,,,,
17,07/14/18 04:00:00 PM,,,95.326,,,,,
18,07/14/18 04:15:00 PM,,,95.318,,,,,
19,07/14/18 04:30:00 PM,,,95.287,,,,,
20,07/14/18 04:45:00 PM,,,95.283,,,,,
21,07/14/18 05:00:00 PM,,,95.276,,,,,
22,07/14/18 05:15:00 PM,,,95.258,,,,,
23,07/14/18 05:30:00 PM,,,95.237,,,,,
24,07/14/18 05:45:00 PM,,,95.237,,,,,
25,07/14/18 06:00:00 PM,,,95.230,,,,,
26,07/14/18 06:15:00 PM,,,95.209,,,,,
27,07/14/18 06:30:00 PM,,,95.198,,,,,
28,07/14/18 06:45:00 PM,,,95.205,,,,,
29,07/14/18 07:00:00 PM,,,95.223,,,,,
30,07/14/18 07:15:00 PM,,,95.234,,,,,
31,07/14/18 07:30:00 PM,,,95.241,,,,,
32,07/14/18 07:45:00 PM,,,95.237,,,,,
33,07/14/18 08:00:00 PM,,,95.255,,,,,
34,07/14/18 08:15:00 PM,,,95.252,,,,,
35,07/14/18 08:30:00 PM,,,95.241,,,,,
36,07/14/18 08:45:00 PM,,,95.238,,,,,
37,07/14/18 09:00:00 PM,,,95.238,,,,,
38,07/14/18 09:15:00 PM,,,95.238,,,,,
39,07/14/18 09:30:00 PM,,,95.252,,,,,
40,07/14/18 09:45:00 PM,,,95.234,,,,,
41,07/14/18 10:00:00 PM,,,95.234,,,,,
42,07/14/18 10:15:00 PM,,,95.206,,,,,
43,07/14/18 10:30:00 PM,,,95.202,,,,,
44,07/14/18 10:45:00 PM,,,95.181,,,,,
45,07/14/18 11:00:00 PM,,,95.213,,,,,
46,07/14/18 11:15:00 PM,,,95.199,,,,,
47,07/14/18 11:30:00 PM,,,95.199,,,,,
48,07/14/18 11:45:00 PM,,,95.199,,,,,
49,07/15/18 12:00:00 AM,,,95.178,,,,,
50,07/15/18 12:15:00 AM,,,95.188,,,,,
51,07/15/18 12:30:00 AM,,,95.175,,,,,
52,07/15/18 12:45:00 AM,,,95.146,,,,,
53,07/15/18 01:00:00 AM,,,95.125,,,,,
54,07/15/18 01:15:00 AM,,,95.146,,,,,
55,07/15/18 01:30:00 AM,,,95.164,,,,,
56,07/15/18 01:45:00 AM,,,95.153,,,,,
57,07/15/18 02:00:00 AM,,,95.153,,,,,
58,07/15/18 02:15:00 AM,,,95.132,,,,,
59,07/15/18 02:30:00 AM,,,95.118,,,,,
60,07/15/18 02:45:00 AM,,,95.129,,,,,
61,07/15/18 03:00:00 AM,,,95.105,,,,,
62,07/15/18 03:15:00 AM,,,95.105,,,,,
63,07/15/18 03:30:00 AM,,,95.094,,,,,
64,07/15/18 03:45:00 AM,,,95.112,,,,,
65,07/15/18 04:00:00 AM,,,95.080,,,,,
66,07/15/18 04:15:00 AM,,,95.091,,,,,
67,07/15/18 04:30:00 AM,,,95.101,,,,,
68,07/15/18 04:45:00 AM,,,95.077,,,,,
69,07/15/18 05:00:00 AM,,,95.098,,,,,
70,07/15/18 05:15:00 AM,,,95.101,,,,,
71,07/15/18 05:30:00 AM,,,95.133,,,,,
72,07/15/18 05:45:00 AM,,,95.115,,,,,
73,07/15/18 06:00:00 AM,,,95.087,,,,,
74,07/15/18 06:15:00 AM,,,95.080,,,,,
75,07/15/18 06:30:00 AM,,,95.118,,,,,
76,07/15/18 06:45:00 AM,,,95.104,,,,,
77,07/15/18 07:00:00 AM,,,95.107,,,,,
78,07/15/18 07:15:00 AM,,,95.110,,,,,
79,07/15/18 07:30:00 AM,,,95.103,,,,,
80,07/15/18 07:45:00 AM,,,95.096,,,,,
81,07/15/18 08:00:00 AM,,,95.085,,,,,
82,07/15/18 08:15:00 AM,,,95.110,,,,,
83,07/15/18 08:30:00 AM,,,95.089,,,,,
84,07/15/18 08:45:00 AM,,,95.092,,,,,
85,07/15/18 09:00:00 AM,,,95.085,,,,,
86,07/15/18 09:15:00 AM,,,95.070,,,,,
87,07/15/18 09:30:00 AM,,,95.053,,,,,
88,07/15/18 09:45:00 AM,,,95.055,,,,,
89,07/15/18 10:00:00 AM,,,95.048,,,,,
90,07/15/18 10:15:00 AM,,,95.053,,,,,
91,07/15/18 10:30:00 AM,,,95.061,,,,,
92,07/15/18 10:45:00 AM,,,95.081,,,,,
93,07/15/18 11:00:00 AM,,,95.063,,,,,
94,07/15/18 11:15:00 AM,,,95.065,,,,,
95,07/15/18 11:30:00 AM,,,95.077,,,,,
96,07/15/18 11:45:00 AM,,,95.069,,,,,
97,07/15/18 12:00:00 PM,,,95.093,,,,,
98,07/15/18 12:15:00 PM,,,95.085,,,,,
99,07/15/18 12:30:00 PM,,,95.095,,,,,
100,07/15/18 12:45:00 PM,,,95.074,,,,,
101,07/15/18 01:00:00 PM,,,95.031,,,,,
102,07/15/18 01:15:00 PM,,,95.041,,,,,
103,07/15/18 01:30:00 PM,,,95.045,,,,,
104,07/15/18 01:45:00 PM,,,95.048,,,,,
105,07/15/18 02:00:00 PM,,,95.020,,,,,
106,07/15/18 02:15:00 PM,,,95.060,,,,,
107,07/15/18 02:30:00 PM,,,95.035,,,,,
108,07/15/18 02:45:00 PM,,,95.036,,,,,
109,07/15/18 03:00:00 PM,,,95.038,,,,,
110,07/15/18 03:15:00 PM,,,95.048,,,,,
111,07/15/18 03:30:00 PM,,,95.045,,,,,
112,07/15/18 03:45:00 PM,,,95.059,,,,,
113,07/15/18 04:00:00 PM,,,95.063,,,,,
114,07/15/18 04:15:00 PM,,,95.032,,,,,
115,07/15/18 04:30:00 PM,,,95.015,,,,,
116,07/15/18 04:45:00 PM,,,95.026,,,,,
117,07/15/18 05:00:00 PM,,,95.037,,,,,
118,07/15/18 05:15:00 PM,,,95.052,,,,,
119,07/15/18 05:30:00 PM,,,95.053,,,,,
120,07/15/18 05:45:00 PM,,,95.039,,,,,
121,07/15/18 06:00:00 PM,,,95.071,,,,,
122,07/15/18 06:15:00 PM,,,95.093,,,,,
123,07/15/18 06:30:00 PM,,,95.094,,,,,
124,07/15/18 06:45:00 PM,,,95.108,,,,,
125,07/15/18 07:00:00 PM,,,95.119,,,,,
126,07/15/18 07:15:00 PM,,,95.123,,,,,
127,07/15/18 07:30:00 PM,,,95.127,,,,,
128,07/15/18 07:45:00 PM,,,95.145,,,,,
129,07/15/18 08:00:00 PM,,,95.138,,,,,
130,07/15/18 08:15:00 PM,,,95.160,,,,,
131,07/15/18 08:30:00 PM,,,95.167,,,,,
132,07/15/18 08:45:00 PM,,,95.139,,,,,
133,07/15/18 09:00:00 PM,,,95.160,,,,,
134,07/15/18 09:15:00 PM,,,95.189,,,,,
135,07/15/18 09:30:00 PM,,,95.175,,,,,
136,07/15/18 09:45:00 PM,,,95.158,,,,,
137,07/15/18 10:00:00 PM,,,95.154,,,,,
138,07/15/18 10:15:00 PM,,,95.165,,,,,
139,07/15/18 10:30:00 PM,,,95.165,,,,,
140,07/15/18 10:45:00 PM,,,95.197,,,,,
141,07/15/18 11:00:00 PM,,,95.175,,,,,
142,07/15/18 11:15:00 PM,,,95.197,,,,,
143,07/15/18 11:30:00 PM,,,95.186,,,,,
144,07/15/18 11:45:00 PM,,,95.183,,,,,
145,07/16/18 12:00:00 AM,,,95.183,,,,,
146,07/16/18 12:15:00 AM,,,95.148,,,,,
147,07/16/18 12:30:00 AM,,,95.158,,,,,
148,07/16/18 12:45:00 AM,,,95.165,,,,,
149,07/16/18 01:00:00 AM,,,95.162,,,,,
150,07/16/18 01:15:00 AM,,,95.169,,,,,
151,07/16/18 01:30:00 AM,,,95.176,,,,,
152,07/16/18 01:45:00 AM,,,95.184,,,,,
153,07/16/18 02:00:00 AM,,,95.174,,,,,
154,07/16/18 02:15:00 AM,,,95.177,,,,,
155,07/16/18 02:30:00 AM,,,95.177,,,,,
156,07/16/18 02:45:00 AM,,,95.167,,,,,
157,07/16/18 03:00:00 AM,,,95.156,,,,,
158,07/16/18 03:15:00 AM,,,95.156,,,,,
159,07/16/18 03:30:00 AM,,,95.167,,,,,
160,07/16/18 03:45:00 AM,,,95.167,,,,,
161,07/16/18 04:00:00 AM,,,95.156,,,,,
162,07/16/18 04:15:00 AM,,,95.167,,,,,
163,07/16/18 04:30:00 AM,,,95.164,,,,,
164,07/16/18 04:45:00 AM,,,95.188,,,,,
165,07/16/18 05:00:00 AM,,,95.188,,,,,
166,07/16/18 05:15:00 AM,,,95.195,,,,,
167,07/16/18 05:30:00 AM,,,95.202,,,,,
168,07/16/18 05:45:00 AM,,,95.216,,,,,
169,07/16/18 06:00:00 AM,,,95.195,,,,,
170,07/16/18 06:15:00 AM,,,95.202,,,,,
171,07/16/18 06:30:00 AM,,,95.223,,,,,
172,07/16/18 06:45:00 AM,,,95.225,,,,,
173,07/16/18 07:00:00 AM,,,95.238,,,,,
174,07/16/18 07:15:00 AM,,,95.234,,,,,
175,07/16/18 07:30:00 AM,,,95.234,,,,,
176,07/16/18 07:45:00 AM,,,95.230,,,,,
177,07/16/18 08:00:00 AM,,,95.226,,,,,
178,07/16/18 08:15:00 AM,,,95.219,,,,,
179,07/16/18 08:30:00 AM,,,95.222,,,,,
180,07/16/18 08:45:00 AM,,,95.227,,,,,
181,07/16/18 09:00:00 AM,,,95.223,,,,,
182,07/16/18 09:15:00 AM,,,95.201,,,,,
183,07/16/18 09:30:00 AM,,,95.207,,,,,
184,07/16/18 09:45:00 AM,,,95.203,,,,,
185,07/16/18 10:00:00 AM,,,95.203,,,,,
186,07/16/18 10:15:00 AM,,,95.209,,,,,
187,07/16/18 10:30:00 AM,,,95.201,,,,,
188,07/16/18 10:45:00 AM,,,95.176,,,,,
189,07/16/18 11:00:00 AM,,,95.168,,,,,
190,07/16/18 11:15:00 AM,,,95.171,,,,,
191,07/16/18 11:30:00 AM,,,95.174,,,,,
192,07/16/18 11:45:00 AM,,,95.156,,,,,
193,07/16/18 12:00:00 PM,,,95.138,,,,,
194,07/16/18 12:15:00 PM,,,95.144,,,,,
195,07/16/18 12:30:00 PM,,,95.126,,,,,
196,07/16/18 12:45:00 PM,,,95.111,,,,,
197,07/16/18 01:00:00 PM,,,95.100,,,,,
198,07/16/18 01:15:00 PM,,,95.083,,,,,
199,07/16/18 01:30:00 PM,,,95.087,,,,,
200,07/16/18 01:45:00 PM,,,95.073,,,,,
201,07/16/18 02:00:00 PM,,,95.062,,,,,
202,07/16/18 02:15:00 PM,,,95.059,,,,,
203,07/16/18 02:30:00 PM,,,95.027,,,,,
204,07/16/18 02:45:00 PM,,,95.035,,,,,
205,07/16/18 03:00:00 PM,,,95.024,,,,,
206,07/16/18 03:15:00 PM,,,95.004,,,,,
207,07/16/18 03:30:00 PM,,,94.997,,,,,
208,07/16/18 03:45:00 PM,,,94.976,,,,,
209,07/16/18 04:00:00 PM,,,94.980,,,,,
210,07/16/18 04:15:00 PM,,,94.949,,,,,
211,07/16/18 04:30:00 PM,,,94.949,,,,,
212,07/16/18 04:45:00 PM,,,94.953,,,,,
213,07/16/18 05:00:00 PM,,,94.964,,,,,
214,07/16/18 05:15:00 PM,,,94.947,,,,,
215,07/16/18 05:30:00 PM,,,94.934,,,,,
216,07/16/18 05:45:00 PM,,,94.913,,,,,
217,07/16/18 06:00:00 PM,,,94.896,,,,,
218,07/16/18 06:15:00 PM,,,94.900,,,,,
219,07/16/18 06:30:00 PM,,,94.897,,,,,
