site,event_n,recession_n,Start_dt_EST,End_dt_EST,notes
SF-A,1,SFA_E1_1,2018-07-26 12:05:00,2018-07-26 13:00:00,
SF-A,1,SFA_E1_2,,,cut off
SF-A,2,SFA_E2_1,2018-09-03 18:30:00,2018-09-04 00:30:00,
SF-A,3,SFA_E3_1,2018-09-11 04:55:00,2018-09-11 08:00:00,
SF-A,4,SFA_E4_1,2018-09-21 10:50:00,2018-09-21 13:45:00,
SF-A,4,SFA_E4_2,2018-09-21 22:55:00,2018-09-22 02:15:00,
SF-A,5,SFA_E5_1,2018-09-25 16:50:00,2018-09-25 20:35:00,
SF-A,5,SFA_E5_2,2018-09-26 17:25:00,2018-09-26 18:50:00,
SF-A,6,SFA_E6_1,2018-10-02 11:50:00,2018-10-02 23:00:00,
SF-A,7,SFA_E7_1,2018-10-11 14:45:00,2018-10-11 19:35:00,
SF-A,8,SFA_E8_1,2018-11-02 00:05:00,2018-11-02 12:50:00,
SF-A,9,SFA_E9_1,2018-11-03 01:15:00,2018-11-03 06:05:00,
SF-A,9,SFA_E9_2,2018-11-03 12:15:00,2018-11-03 21:50:00,
SF-B,1,SFB_E1_1,2018-07-26 12:10:00,2018-07-26 13:30:00,
SF-B,1,SFB_E1_2,2018-07-26 13:35:00,2018-07-26 14:30:00,
SF-B,2,SFB_E2_1,2018-09-03 18:40:00,2018-09-04 00:30:00,
SF-B,3,SFB_E3_1,2018-09-11 03:20:00,2018-09-11 12:45:00,
SF-B,4,SFB_E4_1,2018-09-21 12:00:00,2018-09-21 22:50:00,
SF-B,4,SFB_E4_2,2018-09-21 23:25:00,2018-09-22 03:00:00,
SF-B,5,SFB_E5_1,2018-09-25 17:50:00,2018-09-26 16:00:00,
SF-B,5,SFB_E5_2,2018-09-26 17:30:00,2018-09-26 23:05:00,
SF-B,6,SFB_E6_1,2018-10-02 07:25:00,2018-10-03 13:25:00,
SF-B,7,SFB_E7_1,2018-10-11 11:55:00,2018-10-12 00:10:00,
SF-B,8,SFB_E8_1,2018-11-01 23:20:00,2018-11-02 12:50:00,
SF-B,9,SFB_E9_1,2018-11-03 00:05:00,2018-11-03 06:05:00,
SF-B,9,SFB_E9_2,,,cut off
SF-C,1,SFC_E1_1,2018-07-26 12:05:00,2018-07-26 13:10:00,
SF-C,1,SFC_E1_2,2018-07-26 13:35:00,2018-07-26 14:30:00,
SF-C,2,SFC_E2_1,2018-09-03 18:35:00,2018-09-04 00:05:00,
SF-C,3,SFC_E3_1,,,Null
SF-C,4,SFC_E4_1,,,Null
SF-C,4,SFC_E4_2,2018-09-21 23:50:00,2018-09-22 03:20:00,
SF-C,5,SFC_E5_1,2018-09-25 18:30:00,2018-09-26 11:40:00,
SF-C,5,SFC_E5_2,2018-09-26 17:25:00,,Error
SF-C,6,SFC_E6_1,2018-10-02 14:05:00,2018-10-03 12:25:00,
SF-C,7,SFC_E7_1,2018-10-11 15:35:00,2018-10-12 01:50:00,
