recession_n,dt,site,yield_mm,hobo_event_n,sec,sec_norm,yld_mm_norm1,yld_mm_norm2,power_yield,nobs,mod,r,m,i,r2
SFA_E1_1,2018-07-26T17:05:00Z,SM,0.02667656055153059,1,0S,0S,0,0,1,12,,0.9652711678477534,9.985323041465385,-0.37954734389511807,0.9317484274781657
SFA_E2_1,2018-09-03T23:35:00Z,SM,0.02272447750685938,2,300S,0.0138888888888889S,0.00889218685051019,0.1666666666666666,1.4677992676220692,16,,0.812590652449082,7.841285342312321,4.748118086400247,0.6603035684476248
SFA_E3_1,2018-09-11T10:00:00Z,SM,0.01778437370102039,3,300S,0.027027027027027S,0.0029640622835033995,0.1304347826086957,1.3503140378698733,15,,0.9751897286850016,8.38232521501595,1.655673634778557,0.9509950069327271
SFA_E4_1,2018-09-21T15:55:00Z,SM,0.01778437370102039,4,300S,0.0285714285714286S,0.0029640622835033995,0.2,1.5848931924611136,11,,0.9543730985304074,11.032017656078116,0.9060784754593761,0.9108280111985307
SFA_E4_2,2018-09-22T04:00:00Z,SM,0.03161666435736959,4,300S,0.025S,0.0019760415223355997,0.09090909090909097,1.2328467394420664,16,,0.9789893433475823,7.766032633320911,0.458053668379367,0.9584201343881303
SFA_E5_1,2018-09-25T21:55:00Z,SM,0.01482031141751699,5,300S,0.0222222222222222S,9.880207611677998e-4,0.03703703703703704,1.0890229622637302,18,,0.9855828214610614,9.410586231148105,0.6291656366885869,0.9713734979591463
SFA_E5_2,2018-09-26T22:30:00Z,SM,0.05038905881955778,5,300S,0.0588235294117647S,0.005928124567006816,0.13333333333333375,1.3593563908785269,11,,0.9456603627565615,9.415398213685773,1.9955700950605282,0.8942735216888715
SFA_E6_1,2018-10-02T16:55:00Z,SM,0.01185624913401359,6,300S,0.00746268656716418S,9.880207611677998e-4,0.020408163265306124,1.0481131341546857,37,,0.9540500984849795,8.928800134914988,0.9022262281773986,0.910211590419199
SFA_E7_1,2018-10-11T19:50:00Z,SM,0.01086822837284579,7,300S,0.0172413793103448S,9.880207611677998e-4,0.05,1.1220184543019633,16,,0.9719541533567956,7.455393706253262,0.2627105759832915,0.9446948762275253
SFA_E8_1,2018-11-02T05:10:00Z,SM,0.01580833217868479,8,300S,0.0065359477124183S,9.880207611677998e-4,0.021739130434782615,1.0513301770262384,39,,0.9664770222903453,7.365751402329759,0.7013753280955345,0.9340778346152125
SFA_E9_1,2018-11-03T06:20:00Z,SM,0.01877239446218819,9,300S,0.0172413793103448S,0.003952083044671198,0.09756097560975609,1.2518750258625289,26,,0.8347250857755547,8.402041994651121,0.8772341013314511,0.6967659688230071
SFA_E9_2,2018-11-03T17:20:00Z,SM,0.05335312110306118,9,300S,0.00869565217391304S,0.004940103805839008,0.03401360544217694,1.081467830654403,55,,0.9712992714418086,8.626698521454532,2.528376044026472,0.9434222747033882
SFB_E1_1,2018-07-26T17:15:00Z,YB,0.02316386141099103,1,300S,0.0625S,0.003474579211648652,0.03061224489795916,1.0730309405261562,15,,0.9931888343956036,10.902595867915661,-0.06540702709470533,0.9864240607680976
SFB_E1_2,2018-07-26T18:40:00Z,YB,0.1488278095656174,1,300S,0.0909090909090909S,0.012740123776045054,0.32835820895522366,2.1298950732064363,9,,0.9414037850035568,6.875246419947583,2.829434398000776,0.886241086419023
SFB_E2_1,2018-09-03T23:45:00Z,YB,0.00694915842329731,2,300S,0.0142857142857143S,0.0046327722821982095,0.12500000000000008,1.3335214321633242,31,,0.9819216901874321,8.359894260246593,2.360198866502123,0.9641702056605435
SFB_E3_1,2018-09-11T08:25:00Z,YB,0.00405367574692343,3,300S,0.00884955752212389S,0.0011581930705495598,0.02439024390243919,1.0577675602831762,51,,0.9891878519185269,9.76636564428952,0.6935645480067711,0.9784926063831895
SFB_E4_1,2018-09-21T17:05:00Z,YB,0.0046327722821982,4,300S,0.00769230769230769S,0.0011581930705495498,0.10526315789473668,1.2742749857031332,16,,0.9526948465631959,6.332733265339538,1.3298011490685546,0.9076274706680714
SFB_E4_2,2018-09-22T04:30:00Z,YB,0.0167937995229685,4,300S,0.0232558139534884S,0.00231638614109911,0.12500000000000033,1.333521432163325,19,,0.9807354754826131,8.841140805767763,0.6528789088742033,0.9618420728701071
SFB_E5_1,2018-09-25T22:55:00Z,YB,0.0167937995229685,5,300S,0.0037593984962406S,0.0011581930705495506,0.020202020202020183,1.0476157527896648,85,,0.9899008732324877,8.50227190527731,0.8481475415285311,0.9799037388264416
SFB_E5_2,2018-09-26T22:35:00Z,YB,0.07817803226209474,5,300S,0.0149253731343284S,0.005211868817472987,0.07500000000000005,1.1885022274370185,34,,0.9328537829968351,10.746108844735438,2.967905737152242,0.8702161804515063
SFB_E6_1,2018-10-02T12:30:00Z,YB,0.00347457921164865,6,300S,0.00277777777777778S,0.0017372896058243303,0.013953488372093047,1.0326508060552284,146,,0.9871154176073542,10.831450754013922,-0.14051707676617456,0.9743968476781413
SFB_E7_1,2018-10-11T17:00:00Z,YB,0.00752825495857208,7,300S,0.00680272108843537S,5.790965352747701e-4,0.009900990099009802,1.0230597298425084,67,,0.9426432735552254,10.36903390092632,-0.5814373220265961,0.8885763411789115
SFB_E8_1,2018-11-02T04:25:00Z,YB,0.00521186881747298,8,300S,0.00617283950617284S,5.790965352747797e-4,0.005154639175257766,1.0119397113488335,118,,0.9538756178393518,8.482051263652675,-0.16283176604665053,0.9098786943084052
SFB_E9_1,2018-11-03T05:10:00Z,YB,0.01331922031131984,9,300S,0.0138888888888889S,0.0017372896058243294,0.01570680628272253,1.0368282131522517,65,,0.9734723788889823,10.027958086246871,-0.36248571468960933,0.9476484724597743
SFC_E1_1,2018-07-26T17:10:00Z,SM,-0.01979536918059323,1,300S,0.0769230769230769S,0.0028279098829418897,0.023622047244094488,1.0558981944335788,12,,0.96929921317613,10.69513879886175,-1.1226198355932642,0.9395409646638647
SFC_E1_2,2018-07-26T18:40:00Z,SM,0.13951022089179996,1,300S,0.0909090909090909S,0.026393825574124313,0.45161290322580666,2.8288694346259704,10,,0.9536417851636692,6.4968799919488465,3.553165050568999,0.9094326544101498
SFC_E2_1,2018-09-03T23:40:00Z,SM,-0.02168064243588783,2,300S,0.0151515151515152S,9.42636627647292e-4,0.020408163265306017,1.0481131341546854,19,,0.9784681327053045,8.872372064882125,1.8044261090441,0.9573998867198055
SFC_E4_2,2018-09-22T04:55:00Z,SM,-0.02168064243588783,4,300S,0.0238095238095238S,0.0028279098829418897,0.09374999999999997,1.2409377607517196,13,,0.9941462153925078,8.804380777098858,0.9088601453015762,0.9883266975792465
SFC_E5_1,2018-09-25T23:35:00Z,SM,-0.02262327906353512,5,300S,0.00485436893203883S,0.0018852732552945978,0.03389830508474583,1.081180751076608,52,,0.9916834451040851,7.7439455756472215,1.0510288960422303,0.983436055293507
SFC_E6_1,2018-10-02T19:10:00Z,SM,-0.01225427615941486,6,300S,0.00373134328358209S,9.426366276472902e-4,0.005813953488372052,1.0134771313640476,99,,0.978946216401262,10.188682487443499,1.1992623393631487,0.9583356946063465
SFC_E7_1,2018-10-11T20:40:00Z,SM,-0.01979536918059323,7,300S,0.00813008130081301S,9.426366276472989e-4,0.008196721311475426,1.0190528814219364,65,,0.9739917615359756,12.284544532907395,0.11781600498400843,0.9486599515399526
SFC_E8_1,2018-11-02T07:00:00Z,SM,-0.02073800580824053,8,300S,0.00757575757575758S,0.0018852732552945908,0.014814814814814791,1.0347008713411983,88,,0.9487379542215082,8.807986006712351,-0.3445214556139421,0.9001037057804125
SFC_E9_1,2018-11-03T05:55:00Z,SM,-0.01696745929765134,9,300S,0.0106382978723404S,0.0018852732552946012,0.012269938650306796,1.0286554671761738,64,,0.9719365968329552,11.557933661626585,0.3742490566284875,0.9446607482632264
SFD_E2_1,2018-09-03T23:25:00Z,YB,0.00335100615284198,2,300S,0.0163934426229508S,0.0023935758234585546,0.07575757575757548,1.1905772393787828,21,,0.939081913285164,9.040844975904148,2.7706324579038575,0.8818748398593242
SFD_E3_1,2018-09-11T08:40:00Z,YB,0,3,300S,0.00909090909090909S,9.574303293834256e-4,0.02702702702702703,1.0642092440647242,47,,0.9850691726894364,9.299277291655706,1.2784597231275874,0.9703612749830507
SFD_E4_1,2018-09-21T16:10:00Z,YB,4.787151646917128e-4,4,300S,0.0384615384615385S,0.0014361454940751384,0.2307692307692308,1.7012542798525891,9,,0.8976320531323009,9.083523613347337,1.8543505873178912,0.8057433028105099
SFD_E4_2,2018-09-22T02:55:00Z,YB,0.00813815779975911,4,300S,0.0192307692307692S,4.7871516469170927e-4,0.034482758620689405,1.082636733874054,22,,0.9648369261135503,7.408198374654888,0.27575746640852394,0.9309102939922446
SFD_E1_1,2018-09-25T21:45:00Z,YB,-0.00143614549407513,5,300S,0.00440528634361234S,4.787151646917201e-4,0.01724137931034509,1.040498310365786,47,,0.9804302796845386,7.23559283602973,1.053603184170133,0.9612435333223025
SFD_E1_2,2018-09-26T22:30:00Z,YB,0.03255263119903646,5,300S,0.02S,0.0047871516469171205,0.09174311926605488,1.2352165993694852,28,,0.9103828477641466,9.58595797720572,3.5439570632327535,0.8287969295031573
SFD_E6_1,2018-10-02T16:00:00Z,YB,0.00813815779975911,6,300S,0.00314465408805031S,0.00143614549407514,0.027027027027027056,1.0642092440647244,84,,0.9833389147573743,10.33983012877673,0.8337802081470417,0.9669554212762107
SFD_E7_1,2018-10-11T21:00:00Z,YB,-0.00335100615284198,7,300S,0.0113636363636364S,4.787151646917201e-4,0.02702702702702745,1.0642092440647253,18,,0.9768326939214229,9.859803148571567,0.9503789098199183,0.9542021119137843
SFD_E8_1,2018-11-01T20:00:00Z,YB,0.01292530944667624,8,600S,0.0689655172413793S,0.00143614549407514,0.057692307692307744,1.1420689062920002,22,,0.957854016371842,8.711568394634844,-0.4599494490400658,0.9174843166796689
SFD_E8_2,2018-11-02T02:50:00Z,YB,0.03446749185780332,8,300S,0.0126582278481013S,4.7871516469170927e-4,0.024390243902438852,1.0577675602831755,23,,0.9633818548043918,7.9777339139978505,0.6821947403122874,0.9281045981663502
SFD_E9_1,2018-11-03T04:30:00Z,YB,9.574303293834256e-4,9,300S,0.0125S,0.0028722909881502756,0.05454545454545453,1.1338235012178493,46,,0.9636546055749389,9.661510290128243,-0.3201142213216718,0.928630198845791
SFD_E9_2,2018-11-03T17:10:00Z,YB,0.05505224393954697,9,300S,0.00862068965517241S,0.003829721317533702,0.022160664819944595,1.052351113241873,91,,0.9744564220619394,9.255157224102371,1.8588370409365815,0.9495653184977566
TFB_E1_1,2018-07-26T17:05:00Z,TF,19.74791868077457,1,300S,0.0769230769230769S,1.6286943241875953,0.06666666666666674,1.165914401179832,12,,0.9856381925163475,10.589622995838615,-0.5351811312841541,0.9714826465468925
TFB_E1_2,2018-07-26T18:35:00Z,TF,45.807027867776064,1,300S,0.333333333333333S,2.8502150673282785,0.4242424242424234,2.656087782946681,2,,1,14.725636477798874,-2.252457709652943,1
