site,event_n,recession_n,Start_dt_EST,End_dt_EST,datetime_interval_EST,event_dur_sec,event_dur_num,notes
SF-A,1,SFA_E1_1,2018-07-26 12:05:00,2018-07-26 13:00:00,2018-07-26 12:05:00 EST--2018-07-26 13:00:00 EST,3300s (~55 minutes),3300,NA
SF-A,1,SFA_E1_2,NA,NA,NA--NA,NA,NA,cut off
SF-A,2,SFA_E2_1,2018-09-03 18:30:00,2018-09-04 00:30:00,2018-09-03 18:30:00 EST--2018-09-04 00:30:00 EST,21600s (~6 hours),21600,NA
SF-A,3,SFA_E3_1,2018-09-11 04:55:00,2018-09-11 08:00:00,2018-09-11 04:55:00 EST--2018-09-11 08:00:00 EST,11100s (~3.08 hours),11100,NA
SF-A,4,SFA_E4_1,2018-09-21 10:50:00,2018-09-21 13:45:00,2018-09-21 10:50:00 EST--2018-09-21 13:45:00 EST,10500s (~2.92 hours),10500,NA
SF-A,4,SFA_E4_2,2018-09-21 22:55:00,2018-09-22 02:15:00,2018-09-21 22:55:00 EST--2018-09-22 02:15:00 EST,12000s (~3.33 hours),12000,NA
SF-A,5,SFA_E5_1,2018-09-25 16:50:00,2018-09-25 20:35:00,2018-09-25 16:50:00 EST--2018-09-25 20:35:00 EST,13500s (~3.75 hours),13500,NA
SF-A,5,SFA_E5_2,2018-09-26 17:25:00,2018-09-26 18:50:00,2018-09-26 17:25:00 EST--2018-09-26 18:50:00 EST,5100s (~1.42 hours),5100,NA
SF-A,6,SFA_E6_1,2018-10-02 11:50:00,2018-10-02 23:00:00,2018-10-02 11:50:00 EST--2018-10-02 23:00:00 EST,40200s (~11.17 hours),40200,NA
SF-A,7,SFA_E7_1,2018-10-11 14:45:00,2018-10-11 19:35:00,2018-10-11 14:45:00 EST--2018-10-11 19:35:00 EST,17400s (~4.83 hours),17400,NA
SF-A,8,SFA_E8_1,2018-11-02 00:05:00,2018-11-02 12:50:00,2018-11-02 00:05:00 EST--2018-11-02 12:50:00 EST,45900s (~12.75 hours),45900,NA
SF-A,9,SFA_E9_1,2018-11-03 01:15:00,2018-11-03 06:05:00,2018-11-03 01:15:00 EST--2018-11-03 06:05:00 EST,17400s (~4.83 hours),17400,NA
SF-A,9,SFA_E9_2,2018-11-03 12:15:00,2018-11-03 21:50:00,2018-11-03 12:15:00 EST--2018-11-03 21:50:00 EST,34500s (~9.58 hours),34500,NA
SF-B,1,SFB_E1_1,2018-07-26 12:10:00,2018-07-26 13:30:00,2018-07-26 12:10:00 EST--2018-07-26 13:30:00 EST,4800s (~1.33 hours),4800,NA
SF-B,1,SFB_E1_2,2018-07-26 13:35:00,2018-07-26 14:30:00,2018-07-26 13:35:00 EST--2018-07-26 14:30:00 EST,3300s (~55 minutes),3300,NA
SF-B,2,SFB_E2_1,2018-09-03 18:40:00,2018-09-04 00:30:00,2018-09-03 18:40:00 EST--2018-09-04 00:30:00 EST,21000s (~5.83 hours),21000,NA
SF-B,3,SFB_E3_1,2018-09-11 03:20:00,2018-09-11 12:45:00,2018-09-11 03:20:00 EST--2018-09-11 12:45:00 EST,33900s (~9.42 hours),33900,NA
SF-B,4,SFB_E4_1,2018-09-21 12:00:00,2018-09-21 22:50:00,2018-09-21 12:00:00 EST--2018-09-21 22:50:00 EST,39000s (~10.83 hours),39000,NA
SF-B,4,SFB_E4_2,2018-09-21 23:25:00,2018-09-22 03:00:00,2018-09-21 23:25:00 EST--2018-09-22 03:00:00 EST,12900s (~3.58 hours),12900,NA
SF-B,5,SFB_E5_1,2018-09-25 17:50:00,2018-09-26 16:00:00,2018-09-25 17:50:00 EST--2018-09-26 16:00:00 EST,79800s (~22.17 hours),79800,NA
SF-B,5,SFB_E5_2,2018-09-26 17:30:00,2018-09-26 23:05:00,2018-09-26 17:30:00 EST--2018-09-26 23:05:00 EST,20100s (~5.58 hours),20100,NA
SF-B,6,SFB_E6_1,2018-10-02 07:25:00,2018-10-03 13:25:00,2018-10-02 07:25:00 EST--2018-10-03 13:25:00 EST,108000s (~1.25 days),108000,NA
SF-B,7,SFB_E7_1,2018-10-11 11:55:00,2018-10-12 00:10:00,2018-10-11 11:55:00 EST--2018-10-12 00:10:00 EST,44100s (~12.25 hours),44100,NA
SF-B,8,SFB_E8_1,2018-11-01 23:20:00,2018-11-02 12:50:00,2018-11-01 23:20:00 EST--2018-11-02 12:50:00 EST,48600s (~13.5 hours),48600,NA
SF-B,9,SFB_E9_1,2018-11-03 00:05:00,2018-11-03 06:05:00,2018-11-03 00:05:00 EST--2018-11-03 06:05:00 EST,21600s (~6 hours),21600,NA
SF-B,9,SFB_E9_2,NA,NA,NA--NA,NA,NA,cut off
SF-C,1,SFC_E1_1,2018-07-26 12:05:00,2018-07-26 13:10:00,2018-07-26 12:05:00 EST--2018-07-26 13:10:00 EST,3900s (~1.08 hours),3900,NA
SF-C,1,SFC_E1_2,2018-07-26 13:35:00,2018-07-26 14:30:00,2018-07-26 13:35:00 EST--2018-07-26 14:30:00 EST,3300s (~55 minutes),3300,NA
SF-C,2,SFC_E2_1,2018-09-03 18:35:00,2018-09-04 00:05:00,2018-09-03 18:35:00 EST--2018-09-04 00:05:00 EST,19800s (~5.5 hours),19800,NA
SF-C,3,SFC_E3_1,NA,NA,NA--NA,NA,NA,Null
SF-C,4,SFC_E4_1,NA,NA,NA--NA,NA,NA,Null
SF-C,4,SFC_E4_2,2018-09-21 23:50:00,2018-09-22 03:20:00,2018-09-21 23:50:00 EST--2018-09-22 03:20:00 EST,12600s (~3.5 hours),12600,NA
SF-C,5,SFC_E5_1,2018-09-25 18:30:00,2018-09-26 11:40:00,2018-09-25 18:30:00 EST--2018-09-26 11:40:00 EST,61800s (~17.17 hours),61800,NA
SF-C,5,SFC_E5_2,2018-09-26 17:25:00,NA,2018-09-26 17:25:00 EST--NA,NA,NA,Error
SF-C,6,SFC_E6_1,2018-10-02 14:05:00,2018-10-03 12:25:00,2018-10-02 14:05:00 EST--2018-10-03 12:25:00 EST,80400s (~22.33 hours),80400,NA
SF-C,7,SFC_E7_1,2018-10-11 15:35:00,2018-10-12 01:50:00,2018-10-11 15:35:00 EST--2018-10-12 01:50:00 EST,36900s (~10.25 hours),36900,NA
SF-C,8,SFC_E8_1,2018-11-02 01:55:00,2018-11-02 12:55:00,2018-11-02 01:55:00 EST--2018-11-02 12:55:00 EST,39600s (~11 hours),39600,NA
SF-C,9,SFC_E9_1,2018-11-03 00:50:00,2018-11-03 08:40:00,2018-11-03 00:50:00 EST--2018-11-03 08:40:00 EST,28200s (~7.83 hours),28200,NA
SF-C,9,SFC_E9_2,NA,NA,NA--NA,NA,NA,Cut off
SF-D,1,SFD_E1_1,NA,NA,NA--NA,NA,NA,Too much noise
SF-D,1,SFD_E1_2,NA,NA,NA--NA,NA,NA,Too much noise
SF-D,2,SFD_E2_1,2018-09-03 18:20:00,2018-09-03 23:25:00,2018-09-03 18:20:00 EST--2018-09-03 23:25:00 EST,18300s (~5.08 hours),18300,NA
SF-D,3,SFD_E3_1,2018-09-11 03:35:00,2018-09-11 12:45:00,2018-09-11 03:35:00 EST--2018-09-11 12:45:00 EST,33000s (~9.17 hours),33000,NA
SF-D,4,SFD_E4_1,2018-09-21 11:05:00,2018-09-21 13:15:00,2018-09-21 11:05:00 EST--2018-09-21 13:15:00 EST,7800s (~2.17 hours),7800,NA
SF-D,4,SFD_E4_2,2018-09-21 21:50:00,2018-09-22 02:10:00,2018-09-21 21:50:00 EST--2018-09-22 02:10:00 EST,15600s (~4.33 hours),15600,NA
SF-D,5,SFD_E1_1,2018-09-25 16:40:00,2018-09-26 11:35:00,2018-09-25 16:40:00 EST--2018-09-26 11:35:00 EST,68100s (~18.92 hours),68100,NA
SF-D,5,SFD_E1_2,2018-09-26 17:25:00,2018-09-26 21:35:00,2018-09-26 17:25:00 EST--2018-09-26 21:35:00 EST,15000s (~4.17 hours),15000,NA
SF-D,6,SFD_E6_1,2018-10-02 10:55:00,2018-10-03 13:25:00,2018-10-02 10:55:00 EST--2018-10-03 13:25:00 EST,95400s (~1.1 days),95400,All the way till the end
SF-D,7,SFD_E7_1,2018-10-11 15:55:00,2018-10-11 23:15:00,2018-10-11 15:55:00 EST--2018-10-11 23:15:00 EST,26400s (~7.33 hours),26400,NA
SF-D,8,SFD_E8_1,2018-11-01 14:50:00,2018-11-01 17:15:00,2018-11-01 14:50:00 EST--2018-11-01 17:15:00 EST,8700s (~2.42 hours),8700,NA
SF-D,8,SFD_E8_2,2018-11-01 21:45:00,2018-11-02 04:20:00,2018-11-01 21:45:00 EST--2018-11-02 04:20:00 EST,23700s (~6.58 hours),23700,NA
SF-D,9,SFD_E9_1,2018-11-02 23:25:00,2018-11-03 06:05:00,2018-11-02 23:25:00 EST--2018-11-03 06:05:00 EST,24000s (~6.67 hours),24000,NA
