Start_dt_EST,End_dt_EST,datetime_interval_EST,event_dur_sec,Event,Notes,datetime_EST,datetime_EST2,W9_Streamflow_mm_hr,W9_Precipitation_mm
NA,NA,NA--NA,NA,1,NA,7/26/2018 13:00,2018-07-26T07:30:00Z,1.49271,2.398
NA,NA,NA--NA,NA,1,NA,7/26/2018 12:55,2018-07-26T07:25:00Z,1.45047,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 13:05,2018-07-26T07:35:00Z,1.45047,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 12:50,2018-07-26T07:20:00Z,1.40897,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 13:55,2018-07-26T08:25:00Z,1.37926,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 13:10,2018-07-26T07:40:00Z,1.34557,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 14:00,2018-07-26T08:30:00Z,1.34266,2.398
NA,NA,NA--NA,NA,1,NA,7/26/2018 13:50,2018-07-26T08:20:00Z,1.31382,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 12:45,2018-07-26T07:15:00Z,1.3031,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 13:45,2018-07-26T08:15:00Z,1.28536,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 14:05,2018-07-26T08:35:00Z,1.25206,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 13:15,2018-07-26T07:45:00Z,1.24546,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 13:40,2018-07-26T08:10:00Z,1.18203,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 14:10,2018-07-26T08:40:00Z,1.16532,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 13:20,2018-07-26T07:50:00Z,1.15008,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 12:40,2018-07-26T07:10:00Z,1.14876,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 14:15,2018-07-26T08:45:00Z,1.08239,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 13:25,2018-07-26T07:55:00Z,1.05934,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 14:20,2018-07-26T08:50:00Z,1.00319,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 13:30,2018-07-26T08:00:00Z,0.97313,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 13:35,2018-07-26T08:05:00Z,0.97313,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 14:25,2018-07-26T08:55:00Z,0.90899,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 12:35,2018-07-26T07:05:00Z,0.86401,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 14:30,2018-07-26T09:00:00Z,0.83797,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 14:35,2018-07-26T09:05:00Z,0.77048,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 14:40,2018-07-26T09:10:00Z,0.72492,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 12:30,2018-07-26T07:00:00Z,0.69066,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 14:45,2018-07-26T09:15:00Z,0.68105,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 14:50,2018-07-26T09:20:00Z,0.63886,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 14:55,2018-07-26T09:25:00Z,0.59832,NA
NA,NA,NA--NA,NA,1,NA,7/26/2018 15:00,2018-07-26T09:30:00Z,0.5594,2.398
NA,NA,NA--NA,NA,1,NA,7/26/2018 15:05,2018-07-26T09:35:00Z,0.53024,NA
