datetime_EST,datetime_EST2,W9_Precipitation_mm,api_30d,Event
7/26/2018 9:00,2018-07-26T03:30:00Z,0,7.318973848686965,1
7/26/2018 10:00,2018-07-26T04:30:00Z,1.079,6.587076463818269,1
7/26/2018 11:00,2018-07-26T05:30:00Z,12.472,7.007368817436442,1
7/26/2018 12:00,2018-07-26T06:30:00Z,8.275,18.778631935692797,1
7/26/2018 13:00,2018-07-26T07:30:00Z,2.398,25.175768742123516,1
7/26/2018 14:00,2018-07-26T08:30:00Z,2.398,25.056191867911167,1
7/26/2018 15:00,2018-07-26T09:30:00Z,2.398,24.943952044868055,1
7/26/2018 16:00,2018-07-26T10:30:00Z,0.959,24.838273176718975,1
7/26/2018 17:00,2018-07-26T11:30:00Z,0.959,23.308825222795083,1
7/26/2018 18:00,2018-07-26T12:30:00Z,0.48,21.932322064263573,1
7/26/2018 19:00,2018-07-26T13:30:00Z,0.36,20.181997594346402,1
7/26/2018 20:00,2018-07-26T14:30:00Z,0.48,18.287255171736053,1
7/26/2018 21:00,2018-07-26T15:30:00Z,0.12,16.804022509355192,1
7/26/2018 22:00,2018-07-26T16:30:00Z,0.12,15.21581165859113,1
7/26/2018 23:00,2018-07-26T17:30:00Z,0,13.786421892903473,1
9/3/2018 17:00,2018-09-03T11:30:00Z,0,0.5250227890879224,2
9/3/2018 18:00,2018-09-03T12:30:00Z,25.444,0.4725205101791302,2
9/3/2018 19:00,2018-09-03T13:30:00Z,0.68,25.869268459161216,2
9/3/2018 20:00,2018-09-03T14:30:00Z,0.81,23.962341613245094,2
9/3/2018 21:00,2018-09-03T15:30:00Z,0.367,22.376107451920586,2
9/3/2018 22:00,2018-09-03T16:30:00Z,0.328,20.505496706728525,2
9/3/2018 23:00,2018-09-03T17:30:00Z,0.236,18.78294703605567,2
9/4/2018 0:00,2018-09-03T18:30:00Z,0.214,17.140652332450113,2
9/4/2018 1:00,2018-09-03T19:30:00Z,0.134,15.640587099205096,2
9/4/2018 2:00,2018-09-03T20:30:00Z,0,14.210528389284589,2
9/4/2018 3:00,2018-09-03T21:30:00Z,0.134,12.789475550356126,2
9/4/2018 4:00,2018-09-03T22:30:00Z,0,11.644527995320518,2
9/10/2018 23:00,2018-09-10T17:30:00Z,0,0,3
9/11/2018 0:00,2018-09-10T18:30:00Z,0.098,0,3
9/11/2018 1:00,2018-09-10T19:30:00Z,2.64,0.098,3
9/11/2018 2:00,2018-09-10T20:30:00Z,4.596,2.7282,3
9/11/2018 3:00,2018-09-10T21:30:00Z,5.573,7.05138,3
9/11/2018 4:00,2018-09-10T22:30:00Z,5.084,11.919242,3
9/11/2018 5:00,2018-09-10T23:30:00Z,1.467,15.811317800000001,3
9/11/2018 6:00,2018-09-11T00:30:00Z,0.587,15.69718602,3
9/11/2018 7:00,2018-09-11T01:30:00Z,0.098,14.714467418000002,3
9/11/2018 8:00,2018-09-11T02:30:00Z,0,13.341020676200003,3
9/11/2018 9:00,2018-09-11T03:30:00Z,0.098,12.006918608580001,3
9/11/2018 10:00,2018-09-11T04:30:00Z,0.098,10.904226747722003,3
