recession_n,dt,site,site2,yield_mm,hobo_event_n,sec,sec_norm,yld_mm_norm1,yld_mm_norm2,power_yield,nobs,mod,r,m,i,r2
SFA_E1_1,2018-07-26T17:05:00Z,SF-A,SM,0.02667656055153059,1,0S,0S,0,0,1,12,,0.9652711678477534,9.985323041465385,-0.37954734389511807,0.9317484274781657
SFA_E2_1,2018-09-03T23:35:00Z,SF-A,SM,0.022724477506859388,2,300S,0.0138888888888889S,0.008892186850510195,0.1666666666666667,1.4677992676220697,16,,0.812590652449082,7.841285342312321,4.748118086400247,0.6603035684476248
SFA_E3_1,2018-09-11T10:00:00Z,SF-A,SM,0.01778437370102039,3,300S,0.027027027027027S,0.002964062283503396,0.13043478260869554,1.3503140378698728,15,,0.9751897286850015,8.38232521501594,1.6556736347785588,0.9509950069327269
SFA_E4_1,2018-09-21T15:55:00Z,SF-A,SM,0.01778437370102039,4,300S,0.0285714285714286S,0.002964062283503396,0.19999999999999982,1.5848931924611127,11,,0.9543730985304074,11.032017656078121,0.9060784754593761,0.9108280111985307
SFA_E4_2,2018-09-22T04:00:00Z,SF-A,SM,0.03161666435736959,4,300S,0.025S,0.0019760415223355997,0.09090909090909097,1.2328467394420664,16,,0.9789893433475821,7.766032633320909,0.45805366837936923,0.9584201343881301
SFA_E5_1,2018-09-25T21:55:00Z,SF-A,SM,0.014820311417516994,5,300S,0.0222222222222222S,9.880207611678016e-4,0.03703703703703711,1.0890229622637302,19,,0.9830623733658923,9.43601434778833,0.581043609498493,0.9664116299277811
SFA_E5_2,2018-09-26T22:30:00Z,SF-A,SM,0.05038905881955778,5,300S,0.0588235294117647S,0.0059281245670068095,0.13333333333333364,1.3593563908785267,8,,0.9692260925541295,10.402251446627545,1.5303036514872137,0.939399218487746
SFA_E6_1,2018-10-02T16:55:00Z,SF-A,SM,0.011856249134013593,6,300S,0.00746268656716418S,9.88020761167798e-4,0.020408163265306093,1.0481131341546857,37,,0.9540500984849795,8.928800134914988,0.9022262281773986,0.910211590419199
SFA_E7_1,2018-10-11T19:50:00Z,SF-A,SM,0.010868228372845795,7,300S,0.0172413793103448S,9.880207611677998e-4,0.05000000000000001,1.1220184543019636,17,,0.971048979377765,7.412108301296367,0.31037427477490764,0.9429361203505991
SFA_E8_1,2018-11-02T05:10:00Z,SF-A,SM,0.015808332178684794,8,300S,0.0065359477124183S,9.880207611677998e-4,0.02173913043478262,1.0513301770262384,40,,0.971768214194753,7.401251310361852,0.7110776698583172,0.9443334621192594
SFA_E9_1,2018-11-03T06:20:00Z,SF-A,SM,0.018772394462188192,9,300S,0.0172413793103448S,0.003952083044671198,0.0975609756097561,1.251875025862529,26,,0.8347250857755546,8.402041994651121,0.8772341013314511,0.696765968823007
SFA_E9_2,2018-11-03T17:20:00Z,SF-A,SM,0.05335312110306118,9,300S,0.00869565217391304S,0.004940103805839008,0.03401360544217694,1.081467830654403,52,,0.9711367867735025,8.575312218804873,2.5557167345759795,0.9431066586247632
SFB_E1_1,2018-07-26T17:15:00Z,SF-B,YB,0.023163861410991034,1,300S,0.0625S,0.0034745792116486554,0.03061224489795919,1.0730309405261562,15,,0.9931888343956035,10.902595867915664,-0.06540702709470626,0.9864240607680974
SFB_E1_2,2018-07-26T18:40:00Z,SF-B,YB,0.1488278095656174,1,300S,0.0909090909090909S,0.012740123776045054,0.32835820895522366,2.1298950732064363,9,,0.9414037850035568,6.875246419947582,2.8294343980007763,0.886241086419023
SFB_E2_1,2018-09-03T23:45:00Z,SF-B,YB,0.00694915842329731,2,300S,0.0142857142857143S,0.004632772282198206,0.12499999999999997,1.333521432163324,30,,0.9813575956298782,8.3709540459264975,2.3532035325377203,0.9630627305004557
SFB_E3_1,2018-09-11T08:25:00Z,SF-B,YB,0.004053675746923431,3,300S,0.00884955752212389S,0.0011581930705495515,0.02439024390243902,1.0577675602831758,45,,0.9899184770193071,9.727568299574296,0.6883955794840386,0.9799385911442245
SFB_E4_1,2018-09-21T17:05:00Z,SF-B,YB,0.004632772282198207,4,300S,0.00769230769230769S,0.001158193070549552,0.10526315789473688,1.274274985703134,16,,0.952694846563196,6.332733265339535,1.3298011490685555,0.9076274706680716
SFB_E4_2,2018-09-22T04:30:00Z,SF-B,YB,0.0167937995229685,4,300S,0.0232558139534884S,0.0023163861410991048,0.12500000000000008,1.3335214321633242,18,,0.9794412157146826,9.216794692239281,0.595293106308417,0.9593050950406553
SFB_E5_1,2018-09-25T22:55:00Z,SF-B,YB,0.0167937995229685,5,300S,0.0037593984962406S,0.0011581930705495506,0.020202020202020183,1.0476157527896648,87,,0.9900125470703913,8.493506916923137,0.8514819994241826,0.9801248433568038
SFB_E5_2,2018-09-26T22:35:00Z,SF-B,YB,0.07817803226209474,5,300S,0.0149253731343284S,0.005211868817472987,0.07500000000000005,1.1885022274370185,31,,0.9312257206296689,10.455154580704033,3.0846326111137294,0.8671813427622461
SFB_E6_1,2018-10-02T12:30:00Z,SF-B,YB,0.003474579211648655,6,300S,0.00277777777777778S,0.0017372896058243275,0.013953488372093023,1.0326508060552284,146,,0.9871154176073542,10.83145075401392,-0.14051707676617634,0.9743968476781413
SFB_E7_1,2018-10-11T17:00:00Z,SF-B,YB,0.007528254958572085,7,300S,0.00680272108843537S,5.790965352747753e-4,0.00990099009900989,1.0230597298425086,67,,0.9426432735552254,10.36903390092632,-0.5814373220265961,0.8885763411789115
SFB_E8_1,2018-11-02T04:25:00Z,SF-B,YB,0.005211868817472983,8,300S,0.00617283950617284S,5.790965352747762e-4,0.0051546391752577345,1.0119397113488333,119,,0.953490359170987,8.483679059687852,-0.17047420366537247,0.9091438650320178
SFB_E9_1,2018-11-03T05:10:00Z,SF-B,YB,0.013319220311319845,9,300S,0.0138888888888889S,0.0017372896058243277,0.015706806282722512,1.0368282131522517,65,,0.9734723788889821,10.027958086246871,-0.36248571468960933,0.9476484724597739
SFC_E1_1,2018-07-26T17:10:00Z,SF-C,SM,-0.019795369180593235,1,300S,0.0769230769230769S,0.0028279098829418897,0.023622047244094484,1.0558981944335788,12,,0.9692992131761301,10.69513879886175,-1.1226198355932642,0.9395409646638649
SFC_E1_2,2018-07-26T18:40:00Z,SF-C,SM,0.13951022089179996,1,300S,0.0909090909090909S,0.026393825574124313,0.45161290322580666,2.8288694346259704,10,,0.9536417851636694,6.496879991948852,3.553165050568997,0.9094326544101501
SFC_E2_1,2018-09-03T23:45:00Z,SF-C,SM,-0.016024822670004046,2,600S,0.0303030303030303S,0.006598456393531078,0.14285714285714285,1.3894954943731377,17,,0.9789005500233217,8.372286110886604,2.0968655320151486,0.9582462868359617
SFC_E4_2,2018-09-22T04:55:00Z,SF-C,SM,-0.02168064243588783,4,300S,0.0238095238095238S,0.0028279098829418897,0.09374999999999996,1.2409377607517194,11,,0.9887549674102005,9.194761847754114,0.8713074082151271,0.9776363855783468
SFC_E5_1,2018-09-25T23:35:00Z,SF-C,SM,-0.022623279063535125,5,300S,0.00485436893203883S,0.0018852732552945943,0.03389830508474577,1.081180751076608,52,,0.9916834451040851,7.7439455756472215,1.0510288960422307,0.983436055293507
SFC_E6_1,2018-10-02T19:10:00Z,SF-C,SM,-0.01225427615941486,6,300S,0.00373134328358209S,9.426366276472972e-4,0.0058139534883720955,1.0134771313640476,99,,0.9783486017852866,10.163090910327105,1.2144413535762058,0.9571659866152253
