dt,site,site2,yield_mm,hobo_event_n,recession_n
2018-07-26T17:05:00Z,SF-A,SM,0.02667656055153059,1,SFA_E1_1
2018-07-26T17:10:00Z,SF-A,SM,0.030628643596201783,1,SFA_E1_1
2018-07-26T17:15:00Z,SF-A,SM,0.037544788924376384,1,SFA_E1_1
2018-07-26T17:20:00Z,SF-A,SM,0.05829322490890017,1,SFA_E1_1
2018-07-26T17:25:00Z,SF-A,SM,0.08990988926626975,1,SFA_E1_1
2018-07-26T17:30:00Z,SF-A,SM,0.09583801383327654,1,SFA_E1_1
2018-07-26T17:35:00Z,SF-A,SM,0.09979009687794775,1,SFA_E1_1
2018-07-26T17:40:00Z,SF-A,SM,0.11164634601196134,1,SFA_E1_1
2018-07-26T17:45:00Z,SF-A,SM,0.1373348858023241,1,SFA_E1_1
2018-07-26T17:50:00Z,SF-A,SM,0.14622707265283433,1,SFA_E1_1
2018-07-26T17:55:00Z,SF-A,SM,0.15314321798100894,1,SFA_E1_1
2018-07-26T18:00:00Z,SF-A,SM,0.15511925950334454,1,SFA_E1_1
2018-09-03T23:30:00Z,SF-A,SM,0.013832290656349193,2,SFA_E2_1
2018-09-03T23:35:00Z,SF-A,SM,0.022724477506859388,2,SFA_E2_1
2018-09-03T23:40:00Z,SF-A,SM,0.03952083044671198,2,SFA_E2_1
2018-09-03T23:45:00Z,SF-A,SM,0.049401038058389975,2,SFA_E2_1
2018-09-03T23:50:00Z,SF-A,SM,0.05236510034189337,2,SFA_E2_1
2018-09-03T23:55:00Z,SF-A,SM,0.05631718338656458,2,SFA_E2_1
2018-09-04T00:00:00Z,SF-A,SM,0.05532916262539677,2,SFA_E2_1
2018-09-04T00:05:00Z,SF-A,SM,0.05928124567006798,2,SFA_E2_1
2018-09-04T00:10:00Z,SF-A,SM,0.06026926643123577,2,SFA_E2_1
2018-09-04T00:15:00Z,SF-A,SM,0.06026926643123577,2,SFA_E2_1
2018-09-04T00:20:00Z,SF-A,SM,0.06026926643123577,2,SFA_E2_1
2018-09-04T00:25:00Z,SF-A,SM,0.057305204147732366,2,SFA_E2_1
2018-09-04T00:30:00Z,SF-A,SM,0.06026926643123577,2,SFA_E2_1
2018-09-04T00:35:00Z,SF-A,SM,0.05928124567006798,2,SFA_E2_1
2018-09-04T00:40:00Z,SF-A,SM,0.05928124567006798,2,SFA_E2_1
2018-09-04T00:45:00Z,SF-A,SM,0.05928124567006798,2,SFA_E2_1
2018-09-04T00:50:00Z,SF-A,SM,0.057305204147732366,2,SFA_E2_1
2018-09-04T00:55:00Z,SF-A,SM,0.06026926643123577,2,SFA_E2_1
2018-09-04T01:00:00Z,SF-A,SM,0.061257287192403566,2,SFA_E2_1
2018-09-04T01:05:00Z,SF-A,SM,0.05829322490890017,2,SFA_E2_1
2018-09-04T01:10:00Z,SF-A,SM,0.05829322490890017,2,SFA_E2_1
2018-09-04T01:15:00Z,SF-A,SM,0.05928124567006798,2,SFA_E2_1
2018-09-04T01:20:00Z,SF-A,SM,0.05928124567006798,2,SFA_E2_1
2018-09-04T01:25:00Z,SF-A,SM,0.06026926643123577,2,SFA_E2_1
2018-09-04T01:30:00Z,SF-A,SM,0.06026926643123577,2,SFA_E2_1
