recession_n,hobo_event_n,site,cv_i,cv_m,datetime_interval_EST,event_dur_sec,centroid,Delta_T,Delta_T_duration,site2,i,m
SFA_E1_1,1,SF-A,321.1639043132308,33.393661648670204,2018-07-26 12:05:00 EST--2018-07-26 13:00:00 EST,3300s (~55 minutes),2018-07-26T16:30:00Z,2018-07-26 11:30:00 EST--2018-07-26 12:05:00 EST,2100s (~35 minutes),SM,-0.37954734389511807,9.985323041465385
SFA_E2_1,2,SF-A,106.65909961653632,NA,2018-09-03 18:30:00 EST--2018-09-04 00:30:00 EST,21600s (~6 hours),2018-09-03T22:30:00Z,2018-09-03 17:30:00 EST--2018-09-03 18:30:00 EST,3600s (~1 hours),SM,4.748118086400247,7.841285342312321
SFA_E3_1,3,SF-A,137.77936440860225,6.184306539647089,2018-09-11 04:55:00 EST--2018-09-11 08:00:00 EST,11100s (~3.08 hours),2018-09-11T07:30:00Z,2018-09-11 02:30:00 EST--2018-09-11 04:55:00 EST,8700s (~2.42 hours),SM,1.6556736347785588,8.38232521501594
SFA_E4_1,4,SF-A,126.04591672901249,22.53601687863494,2018-09-21 10:50:00 EST--2018-09-21 13:45:00 EST,10500s (~2.92 hours),2018-09-21T14:30:00Z,2018-09-21 09:30:00 EST--2018-09-21 10:50:00 EST,4800s (~1.33 hours),SM,0.9060784754593761,11.032017656078121
SFA_E4_2,4,SF-A,126.04591672901249,22.53601687863494,2018-09-21 22:55:00 EST--2018-09-22 02:15:00 EST,12000s (~3.33 hours),2018-09-21T14:30:00Z,2018-09-21 09:30:00 EST--2018-09-21 22:55:00 EST,48300s (~13.42 hours),SM,0.45805366837936923,7.766032633320909
SFA_E5_1,5,SF-A,109.46769310973046,21.04947674197992,2018-09-25 16:50:00 EST--2018-09-25 20:35:00 EST,13500s (~3.75 hours),2018-09-25T21:30:00Z,2018-09-25 16:30:00 EST--2018-09-25 16:50:00 EST,1200s (~20 minutes),SM,0.581043609498493,9.43601434778833
SFA_E5_2,5,SF-A,109.46769310973046,21.04947674197992,2018-09-26 17:25:00 EST--2018-09-26 18:50:00 EST,5100s (~1.42 hours),2018-09-25T21:30:00Z,2018-09-25 16:30:00 EST--2018-09-26 17:25:00 EST,89700s (~1.04 days),SM,1.5303036514872137,10.402251446627545
SFA_E6_1,6,SF-A,115.56944731214432,18.762722110157736,2018-10-02 11:50:00 EST--2018-10-02 23:00:00 EST,40200s (~11.17 hours),2018-10-02T18:30:00Z,2018-10-02 13:30:00 EST--2018-10-02 11:50:00 EST,-6000s (~-1.67 hours),SM,0.9022262281773986,8.928800134914988
SFA_E7_1,7,SF-A,-374.84741834121303,16.129260083500135,2018-10-11 14:45:00 EST--2018-10-11 19:35:00 EST,17400s (~4.83 hours),2018-10-11T15:30:00Z,2018-10-11 10:30:00 EST--2018-10-11 14:45:00 EST,15300s (~4.25 hours),SM,0.31037427477490764,7.412108301296367
SFA_E8_1,8,SF-A,239.69693648622314,8.519524947760251,2018-11-02 00:05:00 EST--2018-11-02 12:50:00 EST,45900s (~12.75 hours),2018-11-02T04:30:00Z,2018-11-01 23:30:00 EST--2018-11-02 00:05:00 EST,2100s (~35 minutes),SM,0.7110776698583172,7.401251310361852
SFA_E9_1,9,SF-A,166.70897097002884,17.28516443079792,2018-11-03 01:15:00 EST--2018-11-03 06:05:00 EST,17400s (~4.83 hours),2018-11-03T16:30:00Z,2018-11-03 11:30:00 EST--2018-11-03 01:15:00 EST,-36900s (~-10.25 hours),SM,0.8772341013314511,8.402041994651121
SFA_E9_2,9,SF-A,166.70897097002884,17.28516443079792,2018-11-03 12:15:00 EST--2018-11-03 21:50:00 EST,34500s (~9.58 hours),2018-11-03T16:30:00Z,2018-11-03 11:30:00 EST--2018-11-03 12:15:00 EST,2700s (~45 minutes),SM,2.5557167345759795,8.575312218804873
SFB_E1_1,1,SF-B,321.1639043132308,33.393661648670204,2018-07-26 12:10:00 EST--2018-07-26 13:30:00 EST,4800s (~1.33 hours),2018-07-26T16:30:00Z,2018-07-26 11:30:00 EST--2018-07-26 12:10:00 EST,2400s (~40 minutes),YB,-0.06540702709470626,10.902595867915664
SFB_E1_2,1,SF-B,321.1639043132308,33.393661648670204,2018-07-26 13:35:00 EST--2018-07-26 14:30:00 EST,3300s (~55 minutes),2018-07-26T16:30:00Z,2018-07-26 11:30:00 EST--2018-07-26 13:35:00 EST,7500s (~2.08 hours),YB,2.8294343980007763,6.875246419947582
SFB_E2_1,2,SF-B,106.65909961653632,NA,2018-09-03 18:40:00 EST--2018-09-04 00:30:00 EST,21000s (~5.83 hours),2018-09-03T22:30:00Z,2018-09-03 17:30:00 EST--2018-09-03 18:40:00 EST,4200s (~1.17 hours),YB,2.3532035325377203,8.3709540459264975
SFB_E3_1,3,SF-B,137.77936440860225,6.184306539647089,2018-09-11 03:20:00 EST--2018-09-11 12:45:00 EST,33900s (~9.42 hours),2018-09-11T07:30:00Z,2018-09-11 02:30:00 EST--2018-09-11 03:20:00 EST,3000s (~50 minutes),YB,0.6883955794840386,9.727568299574296
SFB_E4_1,4,SF-B,126.04591672901249,22.53601687863494,2018-09-21 12:00:00 EST--2018-09-21 22:50:00 EST,39000s (~10.83 hours),2018-09-21T14:30:00Z,2018-09-21 09:30:00 EST--2018-09-21 12:00:00 EST,9000s (~2.5 hours),YB,1.3298011490685555,6.332733265339535
SFB_E4_2,4,SF-B,126.04591672901249,22.53601687863494,2018-09-21 23:25:00 EST--2018-09-22 03:00:00 EST,12900s (~3.58 hours),2018-09-21T14:30:00Z,2018-09-21 09:30:00 EST--2018-09-21 23:25:00 EST,50100s (~13.92 hours),YB,0.595293106308417,9.216794692239281
SFB_E5_1,5,SF-B,109.46769310973046,21.04947674197992,2018-09-25 17:50:00 EST--2018-09-26 16:00:00 EST,79800s (~22.17 hours),2018-09-25T21:30:00Z,2018-09-25 16:30:00 EST--2018-09-25 17:50:00 EST,4800s (~1.33 hours),YB,0.8514819994241826,8.493506916923137
SFB_E5_2,5,SF-B,109.46769310973046,21.04947674197992,2018-09-26 17:30:00 EST--2018-09-26 23:05:00 EST,20100s (~5.58 hours),2018-09-25T21:30:00Z,2018-09-25 16:30:00 EST--2018-09-26 17:30:00 EST,90000s (~1.04 days),YB,3.0846326111137294,10.455154580704033
SFB_E6_1,6,SF-B,115.56944731214432,18.762722110157736,2018-10-02 07:25:00 EST--2018-10-03 13:25:00 EST,108000s (~1.25 days),2018-10-02T18:30:00Z,2018-10-02 13:30:00 EST--2018-10-02 07:25:00 EST,-21900s (~-6.08 hours),YB,-0.14051707676617634,10.83145075401392
SFB_E7_1,7,SF-B,-374.84741834121303,16.129260083500135,2018-10-11 11:55:00 EST--2018-10-12 00:10:00 EST,44100s (~12.25 hours),2018-10-11T15:30:00Z,2018-10-11 10:30:00 EST--2018-10-11 11:55:00 EST,5100s (~1.42 hours),YB,-0.5814373220265961,10.36903390092632
SFB_E8_1,8,SF-B,239.69693648622314,8.519524947760251,2018-11-01 23:20:00 EST--2018-11-02 12:50:00 EST,48600s (~13.5 hours),2018-11-02T04:30:00Z,2018-11-01 23:30:00 EST--2018-11-01 23:20:00 EST,-600s (~-10 minutes),YB,-0.17047420366537247,8.483679059687852
SFB_E9_1,9,SF-B,166.70897097002884,17.28516443079792,2018-11-03 00:05:00 EST--2018-11-03 06:05:00 EST,21600s (~6 hours),2018-11-03T16:30:00Z,2018-11-03 11:30:00 EST--2018-11-03 00:05:00 EST,-41100s (~-11.42 hours),YB,-0.36248571468960933,10.027958086246871
SFC_E1_1,1,SF-C,321.1639043132308,33.393661648670204,2018-07-26 12:05:00 EST--2018-07-26 13:10:00 EST,3900s (~1.08 hours),2018-07-26T16:30:00Z,2018-07-26 11:30:00 EST--2018-07-26 12:05:00 EST,2100s (~35 minutes),SM,-1.1226198355932642,10.69513879886175
SFC_E1_2,1,SF-C,321.1639043132308,33.393661648670204,2018-07-26 13:35:00 EST--2018-07-26 14:30:00 EST,3300s (~55 minutes),2018-07-26T16:30:00Z,2018-07-26 11:30:00 EST--2018-07-26 13:35:00 EST,7500s (~2.08 hours),SM,3.553165050568997,6.496879991948852
SFC_E2_1,2,SF-C,106.65909961653632,NA,2018-09-03 18:35:00 EST--2018-09-04 00:05:00 EST,19800s (~5.5 hours),2018-09-03T22:30:00Z,2018-09-03 17:30:00 EST--2018-09-03 18:35:00 EST,3900s (~1.08 hours),SM,2.0968655320151486,8.372286110886604
SFC_E4_2,4,SF-C,126.04591672901249,22.53601687863494,2018-09-21 23:50:00 EST--2018-09-22 03:20:00 EST,12600s (~3.5 hours),2018-09-21T14:30:00Z,2018-09-21 09:30:00 EST--2018-09-21 23:50:00 EST,51600s (~14.33 hours),SM,0.8713074082151271,9.194761847754114
SFC_E5_1,5,SF-C,109.46769310973046,21.04947674197992,2018-09-25 18:30:00 EST--2018-09-26 11:40:00 EST,61800s (~17.17 hours),2018-09-25T21:30:00Z,2018-09-25 16:30:00 EST--2018-09-25 18:30:00 EST,7200s (~2 hours),SM,1.0510288960422307,7.7439455756472215
SFC_E6_1,6,SF-C,115.56944731214432,18.762722110157736,2018-10-02 14:05:00 EST--2018-10-03 12:25:00 EST,80400s (~22.33 hours),2018-10-02T18:30:00Z,2018-10-02 13:30:00 EST--2018-10-02 14:05:00 EST,2100s (~35 minutes),SM,1.2144413535762058,10.163090910327105
SFC_E7_1,7,SF-C,-374.84741834121303,16.129260083500135,2018-10-11 15:35:00 EST--2018-10-12 01:50:00 EST,36900s (~10.25 hours),2018-10-11T15:30:00Z,2018-10-11 10:30:00 EST--2018-10-11 15:35:00 EST,18300s (~5.08 hours),SM,0.11781600498400843,12.284544532907395
SFC_E8_1,8,SF-C,239.69693648622314,8.519524947760251,2018-11-02 01:55:00 EST--2018-11-02 12:55:00 EST,39600s (~11 hours),2018-11-02T04:30:00Z,2018-11-01 23:30:00 EST--2018-11-02 01:55:00 EST,8700s (~2.42 hours),SM,-0.34762667951322934,8.875417839062937
SFC_E9_1,9,SF-C,166.70897097002884,17.28516443079792,2018-11-03 00:50:00 EST--2018-11-03 08:40:00 EST,28200s (~7.83 hours),2018-11-03T16:30:00Z,2018-11-03 11:30:00 EST--2018-11-03 00:50:00 EST,-38400s (~-10.67 hours),SM,0.3742490566284875,11.557933661626585
SFD_E2_1,2,SF-D,106.65909961653632,NA,2018-09-03 18:20:00 EST--2018-09-03 23:25:00 EST,18300s (~5.08 hours),2018-09-03T22:30:00Z,2018-09-03 17:30:00 EST--2018-09-03 18:20:00 EST,3000s (~50 minutes),YB,2.553366968284118,9.414635379406542
SFD_E3_1,3,SF-D,137.77936440860225,6.184306539647089,2018-09-11 03:35:00 EST--2018-09-11 12:45:00 EST,33000s (~9.17 hours),2018-09-11T07:30:00Z,2018-09-11 02:30:00 EST--2018-09-11 03:35:00 EST,3900s (~1.08 hours),YB,1.278459723127587,9.299277291655704
SFD_E4_1,4,SF-D,126.04591672901249,22.53601687863494,2018-09-21 11:05:00 EST--2018-09-21 13:15:00 EST,7800s (~2.17 hours),2018-09-21T14:30:00Z,2018-09-21 09:30:00 EST--2018-09-21 11:05:00 EST,5700s (~1.58 hours),YB,1.8543505873178912,9.083523613347364
