datetime_interval_EST,event_dur_sec,Event,total_yield,event_intensity,dt,dt_max_yield_mm,site,path_yield_rate,centroid_time,meanY,time_lag,time_lag_duration
2018-07-25 22:30:00 EST--2018-07-26 12:30:00 EST,50400s (~14 hours),1,32.498,6.448015873015872e-4,2018-07-26T17:20:00Z,2018-07-26T17:20:00Z,Sugar_Maple_mm,0.01976041522335599,2018-07-26T10:30:00Z,NA,2018-07-26 05:30:00 EST--2018-07-26 12:20:00 EST,24600s (~6.83 hours)
2018-07-25 22:30:00 EST--2018-07-26 12:30:00 EST,50400s (~14 hours),1,32.498,6.448015873015872e-4,2018-07-26T17:20:00Z,2018-07-26T17:20:00Z,Yellow_Birch_mm,0.039254643504720445,2018-07-26T10:30:00Z,NA,2018-07-26 05:30:00 EST--2018-07-26 12:20:00 EST,24600s (~6.83 hours)
2018-07-25 22:30:00 EST--2018-07-26 12:30:00 EST,50400s (~14 hours),1,32.498,6.448015873015872e-4,2018-07-26T17:20:00Z,2018-07-26T17:20:00Z,Throughfall_yield,3.4609754388986347,2018-07-26T10:30:00Z,NA,2018-07-26 05:30:00 EST--2018-07-26 12:20:00 EST,24600s (~6.83 hours)
2018-09-03 06:30:00 EST--2018-09-03 17:30:00 EST,39600s (~11 hours),2,28.346999999999998,7.158333333333333e-4,2018-09-03T23:40:00Z,2018-09-03T23:40:00Z,Sugar_Maple_mm,0.011856249134013593,2018-09-03T17:00:00Z,NA,2018-09-03 12:00:00 EST--2018-09-03 18:40:00 EST,24000s (~6.67 hours)
2018-09-03 06:30:00 EST--2018-09-03 17:30:00 EST,39600s (~11 hours),2,28.346999999999998,7.158333333333333e-4,2018-09-03T23:40:00Z,2018-09-03T23:40:00Z,Yellow_Birch_mm,0.00446800820378932,2018-09-03T17:00:00Z,NA,2018-09-03 12:00:00 EST--2018-09-03 18:40:00 EST,24000s (~6.67 hours)
2018-09-03 06:30:00 EST--2018-09-03 17:30:00 EST,39600s (~11 hours),2,28.346999999999998,7.158333333333333e-4,2018-09-03T23:40:00Z,2018-09-03T23:40:00Z,Throughfall_yield,3.5288377024064523,2018-09-03T17:00:00Z,NA,2018-09-03 12:00:00 EST--2018-09-03 18:40:00 EST,24000s (~6.67 hours)
2018-09-10 12:30:00 EST--2018-09-11 02:30:00 EST,50400s (~14 hours),3,22.099,4.384722222222222e-4,2018-09-11T07:05:00Z,2018-09-11T07:05:00Z,Throughfall_yield,0.8822094256016128,2018-09-11T00:30:00Z,NA,2018-09-10 19:30:00 EST--2018-09-11 02:05:00 EST,23700s (~6.58 hours)
2018-09-10 12:30:00 EST--2018-09-11 02:30:00 EST,50400s (~14 hours),3,22.099,4.384722222222222e-4,2018-09-11T09:10:00Z,2018-09-11T09:10:00Z,Sugar_Maple_mm,0.0012568488368630653,2018-09-11T00:30:00Z,NA,2018-09-10 19:30:00 EST--2018-09-11 04:10:00 EST,31200s (~8.67 hours)
2018-09-10 12:30:00 EST--2018-09-11 02:30:00 EST,50400s (~14 hours),3,22.099,4.384722222222222e-4,2018-09-11T10:05:00Z,2018-09-11T10:05:00Z,Yellow_Birch_mm,0.0019303217842492535,2018-09-11T00:30:00Z,NA,2018-09-10 19:30:00 EST--2018-09-11 05:05:00 EST,34500s (~9.58 hours)
2018-09-20 19:30:00 EST--2018-09-21 14:30:00 EST,68400s (~19 hours),4,16.667,2.4366959064327486e-4,2018-09-21T13:40:00Z,2018-09-21T13:40:00Z,Throughfall_yield,1.017933952617246,2018-09-21T10:00:00Z,NA,2018-09-21 05:00:00 EST--2018-09-21 08:40:00 EST,13200s (~3.67 hours)
2018-09-20 19:30:00 EST--2018-09-21 14:30:00 EST,68400s (~19 hours),4,16.667,2.4366959064327486e-4,2018-09-21T15:35:00Z,2018-09-21T15:35:00Z,Sugar_Maple_mm,0.0019760415223355997,2018-09-21T10:00:00Z,NA,2018-09-21 05:00:00 EST--2018-09-21 10:35:00 EST,20100s (~5.58 hours)
2018-09-20 19:30:00 EST--2018-09-21 14:30:00 EST,68400s (~19 hours),4,16.667,2.4366959064327486e-4,2018-09-22T04:55:00Z,2018-09-22T04:55:00Z,Yellow_Birch_mm,0.001276573772511234,2018-09-21T10:00:00Z,NA,2018-09-21 05:00:00 EST--2018-09-21 23:55:00 EST,68100s (~18.92 hours)
2018-09-24 22:30:00 EST--2018-09-26 11:30:00 EST,133200s (~1.54 days),5,27.433,2.0595345345345345e-4,2018-09-26T22:35:00Z,2018-09-26T22:35:00Z,Sugar_Maple_mm,0.008233506343065,2018-09-25T22:00:00Z,NA,2018-09-25 17:00:00 EST--2018-09-26 17:35:00 EST,88500s (~1.02 days)
2018-09-24 22:30:00 EST--2018-09-26 11:30:00 EST,133200s (~1.54 days),5,27.433,2.0595345345345345e-4,2018-09-26T22:35:00Z,2018-09-26T22:35:00Z,Yellow_Birch_mm,0.008457301242886926,2018-09-25T22:00:00Z,NA,2018-09-25 17:00:00 EST--2018-09-26 17:35:00 EST,88500s (~1.02 days)
2018-09-24 22:30:00 EST--2018-09-26 11:30:00 EST,133200s (~1.54 days),5,27.433,2.0595345345345345e-4,2018-09-26T22:35:00Z,2018-09-26T22:35:00Z,Throughfall_yield,2.646628276804839,2018-09-25T22:00:00Z,NA,2018-09-25 17:00:00 EST--2018-09-26 17:35:00 EST,88500s (~1.02 days)
2018-10-01 13:30:00 EST--2018-10-03 07:30:00 EST,151200s (~1.75 days),6,25.401,1.6799603174603176e-4,2018-10-02T05:15:00Z,2018-10-02T05:15:00Z,Throughfall_yield,0.8822094256016131,2018-10-02T15:30:00Z,NA,2018-10-02 10:30:00 EST--2018-10-02 00:15:00 EST,-36900s (~-10.25 hours)
2018-10-01 13:30:00 EST--2018-10-03 07:30:00 EST,151200s (~1.75 days),6,25.401,1.6799603174603176e-4,2018-10-02T09:45:00Z,2018-10-02T09:45:00Z,Yellow_Birch_mm,0.004468008203789318,2018-10-02T15:30:00Z,NA,2018-10-02 10:30:00 EST--2018-10-02 04:45:00 EST,-20700s (~-5.75 hours)
2018-10-01 13:30:00 EST--2018-10-03 07:30:00 EST,151200s (~1.75 days),6,25.401,1.6799603174603176e-4,2018-10-02T23:40:00Z,2018-10-02T23:40:00Z,Sugar_Maple_mm,0.001976041522335603,2018-10-02T15:30:00Z,NA,2018-10-02 10:30:00 EST--2018-10-02 18:40:00 EST,29400s (~8.17 hours)
2018-10-10 17:30:00 EST--2018-10-11 15:30:00 EST,79200s (~22 hours),7,24.612000000000002,3.107575757575758e-4,2018-10-11T19:00:00Z,2018-10-11T19:00:00Z,Yellow_Birch_mm,9.574303293834258e-4,2018-10-11T09:30:00Z,NA,2018-10-11 04:30:00 EST--2018-10-11 14:00:00 EST,34200s (~9.5 hours)
2018-10-10 17:30:00 EST--2018-10-11 15:30:00 EST,79200s (~22 hours),7,24.612000000000002,3.107575757575758e-4,2018-10-11T19:10:00Z,2018-10-11T19:10:00Z,Sugar_Maple_mm,0.0019760415223355992,2018-10-11T09:30:00Z,NA,2018-10-11 04:30:00 EST--2018-10-11 14:10:00 EST,34800s (~9.67 hours)
2018-10-10 17:30:00 EST--2018-10-11 15:30:00 EST,79200s (~22 hours),7,24.612000000000002,3.107575757575758e-4,2018-10-11T21:10:00Z,2018-10-11T21:10:00Z,Throughfall_yield,0.8822094256016134,2018-10-11T09:30:00Z,NA,2018-10-11 04:30:00 EST--2018-10-11 16:10:00 EST,42000s (~11.67 hours)
2018-10-31 23:30:00 EST--2018-11-02 04:30:00 EST,104400s (~1.21 days),8,23.025,2.2054597701149425e-4,2018-11-01T21:15:00Z,2018-11-01T21:15:00Z,Yellow_Birch_mm,0.0017552889372029468,2018-11-01T19:00:00Z,NA,2018-11-01 14:00:00 EST--2018-11-01 16:15:00 EST,8100s (~2.25 hours)
2018-10-31 23:30:00 EST--2018-11-02 04:30:00 EST,104400s (~1.21 days),8,23.025,2.2054597701149425e-4,2018-11-01T22:45:00Z,2018-11-01T22:45:00Z,Sugar_Maple_mm,0.002305381776058199,2018-11-01T19:00:00Z,NA,2018-11-01 14:00:00 EST--2018-11-01 17:45:00 EST,13500s (~3.75 hours)
2018-10-31 23:30:00 EST--2018-11-02 04:30:00 EST,104400s (~1.21 days),8,23.025,2.2054597701149425e-4,2018-11-02T13:50:00Z,2018-11-02T13:50:00Z,Throughfall_yield,0.6107603715703481,2018-11-01T19:00:00Z,NA,2018-11-01 14:00:00 EST--2018-11-02 08:50:00 EST,67800s (~18.83 hours)
2018-11-02 10:30:00 EST--2018-11-03 18:30:00 EST,115200s (~1.33 days),9,34.165,2.9657118055555556e-4,2018-11-03T10:30:00Z,2018-11-03T10:30:00Z,Throughfall_yield,1.1536584796328786,2018-11-03T07:30:00Z,NA,2018-11-03 02:30:00 EST--2018-11-03 05:30:00 EST,10800s (~3 hours)
